comparison,left_config_id,right_config_id,left_selected_checkpoint,right_selected_checkpoint,metric,direction,n_pairs,mean,std_dev,median,ci95_lower,ci95_upper,ci_method,ci_status
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,0.00421188275080985,0.07873187874632336,-0.004760906286780085,-0.052109510430417554,0.06053327593203726,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,0.07656292954134657,0.6423274770344249,-0.08757153660902008,-0.3829304670499428,0.536056326132636,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.088754941430446,0.6228604283540667,1.092045297414098,0.643187432551518,1.5343224503093742,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.2695192508138092,0.2844128136661454,-0.33872643517374135,-0.4729759212164341,-0.06606258041118424,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.421165497100003,0.2110360273876622,-0.4273982545000763,-0.5721315767003815,-0.2701994174996245,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,0.018072681754305615,0.03947411626746902,0.007968425349580146,-0.010165399924717305,0.04631076343332853,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,0.43572608667445706,0.7228402015555123,0.2974250383863719,-0.08136264342150584,0.95281481677042,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,0.7733124715706761,0.4020617623701501,0.7428207546632455,0.48569481323245284,1.0609301299088993,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.09438253303093701,0.15467800360970793,-0.056832339455457084,-0.20503251111489698,0.016267445053022966,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.5367258364000349,0.2784048399069812,-0.5563248190000536,-0.7358846612831512,-0.3375670115169186,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.05145163146750009,0.07846931869980621,-0.028045206150840912,-0.10758520050621947,0.004681937571219298,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.9061495912498916,0.8973253006833573,-0.8431534962783489,-1.5480574419959345,-0.26424174050384874,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,3.4133256202999407,2.7099728469470805,2.327489264006135,1.4747278292433634,5.351923411356518,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.2986078739200629,0.08719755494667496,-0.30529457467250687,-0.3609852470349233,-0.23623050080520247,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,5.623065856899973,0.3478400803064037,5.52916301599987,5.374236053279397,5.871895660520549,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.06531243047099586,0.07361114514608483,-0.03607603412859897,-0.11797067150765661,-0.012654189434335106,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-1.265312748383002,0.5866198166205989,-1.055116699855434,-1.6849552853817924,-0.8456702113842117,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,4.315964944327727,3.601160823020924,2.874414768709055,1.7398496800687067,6.892080208586748,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.4737445917029351,0.34581138908269465,-0.5564940844747661,-0.7211231570465493,-0.22636602635932096,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,5.738626196200005,0.1253137576996854,5.760752708999917,5.6489821342164,5.828270258183609,student-t,ok
