comparison,left_config_id,right_config_id,left_selected_checkpoint,right_selected_checkpoint,metric,direction,n_pairs,mean,std_dev,median,ci95_lower,ci95_upper,ci_method,ci_status
w8_n5000_vs_w16_n5000,w8_n5000,w16_n5000,25,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.02967416794569167,0.017595297177105715,-0.028137778088531323,-0.04226108529394038,-0.017087250597442954,student-t,ok
w8_n5000_vs_w16_n5000,w8_n5000,w16_n5000,25,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.12432530422216224,0.07455609566264397,-0.12554323682091392,-0.17765952213664413,-0.07099108630768036,student-t,ok
w8_n5000_vs_w16_n5000,w8_n5000,w16_n5000,25,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.1352105301036055,0.08430032093652634,1.133766285001224,1.074905713346118,1.195515346861093,student-t,ok
w8_n5000_vs_w16_n5000,w8_n5000,w16_n5000,25,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.3559525795221107,0.09846735640941733,-0.34425917486108004,-0.42639188294226216,-0.2855132761019592,student-t,ok
w8_n5000_vs_w16_n5000,w8_n5000,w16_n5000,25,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.04710145089999287,0.028638204794330928,-0.04609980650002399,-0.06758798847421969,-0.02661491332576604,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.07854309018658238,0.01933988946177155,-0.08010057444728812,-0.09237801367376994,-0.06470816669939483,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.3083156208846685,0.08459088300517098,-0.3202445931686801,-0.3688282932245741,-0.24780294854476292,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.3655291681226607,0.11587598754046607,1.3774749518550444,1.2826364801994177,1.4484218560459037,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.7836513330961213,0.09361416036325422,-0.7691049520365817,-0.8506188692086205,-0.7166837969836222,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.10840155599992159,0.021803953312089473,-0.11336399099991468,-0.12399916457918674,-0.09280394742065644,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.04886892224089072,0.02275564112098664,-0.054227175350388346,-0.06514732726657854,-0.03259051721520289,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.18399031666250623,0.08653150759999392,-0.20934541077675856,-0.24589122820821493,-0.12208940511679753,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.20597854655588,0.1012044989412903,1.2329730539890802,1.1335812093229272,1.278375883788833,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.42769875357401066,0.17430829652820776,-0.43907733821250006,-0.5523913972634465,-0.3030061098845748,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.06130010509992871,0.024116983044905612,-0.06275445449989547,-0.07855235547227937,-0.04404785472757805,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,0.00421188275080985,0.07873187874632336,-0.004760906286780085,-0.052109510430417554,0.06053327593203726,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,0.07656292954134657,0.6423274770344249,-0.08757153660902008,-0.3829304670499428,0.536056326132636,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.088754941430446,0.6228604283540667,1.092045297414098,0.643187432551518,1.5343224503093742,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.2695192508138092,0.2844128136661454,-0.33872643517374135,-0.4729759212164341,-0.06606258041118424,student-t,ok
w8_n10000_vs_w16_n10000,w8_n10000,w16_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.3010609337000233,0.18051249337162872,-0.30286692049992325,-0.4301917924474017,-0.17193007495264487,student-t,ok
w8_n10000_vs_w32_n10000,w8_n10000,w32_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.026798163231338497,0.07188543098173937,-0.04308692993132149,-0.07822190272280333,0.02462557626012634,student-t,ok
w8_n10000_vs_w32_n10000,w8_n10000,w32_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.3658651282663542,0.6250524289794249,-0.579276548830779,-0.8130006999305242,0.0812704433978158,student-t,ok
w8_n10000_vs_w32_n10000,w8_n10000,w32_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.679161861295739,0.867461526419455,1.784790272613272,1.058617267707728,2.2997064548837503,student-t,ok
w8_n10000_vs_w32_n10000,w8_n10000,w32_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.6793441736438623,0.3846140190782252,-0.8893792681797429,-0.9544804683246038,-0.404207878963121,student-t,ok
w8_n10000_vs_w32_n10000,w8_n10000,w32_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.9821320611000715,0.1849182853274394,-1.0489196290000677,-1.114414633549309,-0.8498494886508339,student-t,ok
w16_n10000_vs_w32_n10000,w16_n10000,w32_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.031010045982148345,0.0701579406059987,-0.036285975158274,-0.08119801330332924,0.019177921339032542,student-t,ok
w16_n10000_vs_w32_n10000,w16_n10000,w32_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.4424280578077008,0.5086344551230657,-0.4452685758822928,-0.8062832278946119,-0.07857288772078963,student-t,ok
w16_n10000_vs_w32_n10000,w16_n10000,w32_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.7246295089681603,0.7908798081531375,1.5609649947433963,1.1588681764130588,2.2903908415232617,student-t,ok
w16_n10000_vs_w32_n10000,w16_n10000,w32_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.4098249228300531,0.2602656761287082,-0.39231231430133595,-0.596007771635849,-0.22364207402425731,student-t,ok
w16_n10000_vs_w32_n10000,w16_n10000,w32_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.6810711274000483,0.07886151891774938,-0.6901553165000678,-0.7374852595731965,-0.6246569952269,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,0.018072681754305615,0.03947411626746902,0.007968425349580146,-0.010165399924717305,0.04631076343332853,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,0.43572608667445706,0.7228402015555123,0.2974250383863719,-0.08136264342150584,0.95281481677042,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,0.7733124715706761,0.4020617623701501,0.7428207546632455,0.48569481323245284,1.0609301299088993,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.09438253303093701,0.15467800360970793,-0.056832339455457084,-0.20503251111489698,0.016267445053022966,student-t,ok
w8_n20000_vs_w16_n20000,w8_n20000,w16_n20000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.6724203053998963,0.18802515262270755,-0.6967226494998613,-0.8069253968247383,-0.5379152139750543,student-t,ok
w8_n20000_vs_w32_n20000,w8_n20000,w32_n20000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,0.01652433716256756,0.0410088032600098,0.005179493493081128,-0.01281159345507276,0.04586026778020788,student-t,ok
w8_n20000_vs_w32_n20000,w8_n20000,w32_n20000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,0.45426516880049095,0.7419155605008668,0.27763931743655945,-0.07646925105090063,0.9849995886518825,student-t,ok
w8_n20000_vs_w32_n20000,w8_n20000,w32_n20000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,0.7893529848202434,0.5580359208346879,0.7576987774788772,0.3901581350714503,1.1885478345690366,student-t,ok
w8_n20000_vs_w32_n20000,w8_n20000,w32_n20000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.1945571733283953,0.19119501827887253,-0.23836136718219214,-0.3313298500413742,-0.0577844966154164,student-t,ok
w8_n20000_vs_w32_n20000,w8_n20000,w32_n20000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-1.805600968299882,0.19821522648489748,-1.8882867839997743,-1.9473955994343928,-1.663806337165371,student-t,ok
w16_n20000_vs_w32_n20000,w16_n20000,w32_n20000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.0015483445917380532,0.01621237914408288,-0.0007913114517642574,-0.013145981974672516,0.01004929279119641,student-t,ok
w16_n20000_vs_w32_n20000,w16_n20000,w32_n20000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,0.018539082126033925,0.4821905965109883,-0.049039890528226354,-0.3263992910822158,0.3634774553342837,student-t,ok
w16_n20000_vs_w32_n20000,w16_n20000,w32_n20000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.0932208281364337,0.5569626541546017,1.0502751899494942,0.6947937471191885,1.491647909153679,student-t,ok
w16_n20000_vs_w32_n20000,w16_n20000,w32_n20000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.1001746402974583,0.21272432267429994,-0.11518699999291983,-0.2523484535904508,0.05199917299553421,student-t,ok
w16_n20000_vs_w32_n20000,w16_n20000,w32_n20000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-1.1331806628999856,0.15307251430188765,-1.165454445000023,-1.2426821431201343,-1.023679182679837,student-t,ok
w8_n10000_vs_w8_n5000,w8_n10000,w8_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.11780476754895962,0.05626995873371799,-0.1429207752596473,-0.1580578711278091,-0.07755166397011014,student-t,ok
w8_n10000_vs_w8_n5000,w8_n10000,w8_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-1.0127217497560563,0.5598785246341462,-1.259788836632107,-1.4132347188577596,-0.612208780654353,student-t,ok
w8_n10000_vs_w8_n5000,w8_n10000,w8_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,3.101887554869827,1.3574729308737448,3.5370883230028616,2.130809919101055,4.072965190638599,student-t,ok
w8_n10000_vs_w8_n5000,w8_n10000,w8_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.19470651049865506,0.13844426277967506,-0.18804174785245958,-0.2937435699701131,-0.09566945102719705,student-t,ok
w8_n10000_vs_w8_n5000,w8_n10000,w8_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,5.420182867399876,0.1831170478172208,5.356380625500037,5.289188822642867,5.551176912156885,student-t,ok
w8_n20000_vs_w8_n5000,w8_n20000,w8_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.1692563990164597,0.03930669836813045,-0.1773393461271491,-0.19737471714500768,-0.14113808088791172,student-t,ok
w8_n20000_vs_w8_n5000,w8_n20000,w8_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-1.918871341005948,0.6130301535092352,-2.12832117509351,-2.357406694887036,-1.4803359871248598,student-t,ok
w8_n20000_vs_w8_n5000,w8_n20000,w8_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,7.70021546243016,3.0534419696992523,8.414408649030264,5.51591466242513,9.88451626243519,student-t,ok
w8_n20000_vs_w8_n5000,w8_n20000,w8_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.49331438441871794,0.14062838074270423,-0.4459439707386609,-0.5939138677584834,-0.39271490107895246,student-t,ok
w8_n20000_vs_w8_n5000,w8_n20000,w8_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,10.742262288200005,0.21684273498911427,10.713138826999966,10.587142340215975,10.897382236184034,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.05145163146750009,0.07846931869980621,-0.028045206150840912,-0.10758520050621947,0.004681937571219298,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.9061495912498916,0.8973253006833573,-0.8431534962783489,-1.5480574419959345,-0.26424174050384874,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,3.4133256202999407,2.7099728469470805,2.327489264006135,1.4747278292433634,5.351923411356518,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.2986078739200629,0.08719755494667496,-0.30529457467250687,-0.3609852470349233,-0.23623050080520247,student-t,ok
w8_n20000_vs_w8_n10000,w8_n20000,w8_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,5.322079420800128,0.17897096893042094,5.281855392000239,5.19405130220749,5.450107539392765,student-t,ok
w16_n10000_vs_w16_n5000,w16_n10000,w16_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.15169081824546113,0.06606993850179448,-0.17776041520308555,-0.1989544050297769,-0.10442723146114534,student-t,ok
w16_n10000_vs_w16_n5000,w16_n10000,w16_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-1.213609983519565,0.4746858622803936,-1.364263357499105,-1.5531797932684845,-0.8740401737706456,student-t,ok
w16_n10000_vs_w16_n5000,w16_n10000,w16_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,3.6531579108657932,1.282684272594566,3.912998356878105,2.735580858285312,4.570734963446275,student-t,ok
w16_n10000_vs_w16_n5000,w16_n10000,w16_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.2811398392069565,0.2854678897132804,-0.23176541507504356,-0.4853512655462237,-0.07692841286768931,student-t,ok
w16_n10000_vs_w16_n5000,w16_n10000,w16_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,5.674142350199906,0.09967082504875695,5.627924247999999,5.602842137177484,5.745442563222328,student-t,ok
w16_n20000_vs_w16_n5000,w16_n20000,w16_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.217003248716457,0.01439544304103078,-0.2181474956660813,-0.2273011283103657,-0.20670536912254828,student-t,ok
w16_n20000_vs_w16_n5000,w16_n20000,w16_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-2.4789227319025673,0.22202926309695792,-2.5633644068384633,-2.637752898586554,-2.3200925652185806,student-t,ok
w16_n20000_vs_w16_n5000,w16_n20000,w16_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,12.182707192240672,2.509844512603235,12.98615699781678,10.387272587237371,13.978141797243973,student-t,ok
w16_n20000_vs_w16_n5000,w16_n20000,w16_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.7548844309098917,0.13860937561485256,-0.7481540383165424,-0.8540396049882583,-0.655729256831525,student-t,ok
w16_n20000_vs_w16_n5000,w16_n20000,w16_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,11.367581142699908,0.16746867296124626,11.348906642499742,11.247781270963339,11.487381014436478,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.06531243047099586,0.07361114514608483,-0.03607603412859897,-0.11797067150765661,-0.012654189434335106,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-1.265312748383002,0.5866198166205989,-1.055116699855434,-1.6849552853817924,-0.8456702113842117,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,4.315964944327727,3.601160823020924,2.874414768709055,1.7398496800687067,6.892080208586748,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.4737445917029351,0.34581138908269465,-0.5564940844747661,-0.7211231570465493,-0.22636602635932096,student-t,ok
w16_n20000_vs_w16_n10000,w16_n20000,w16_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,5.693438792500001,0.09350581247519256,5.6575271860000385,5.626548763797474,5.7603288212025285,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.1695496945042035,0.03539243237594466,-0.1806389373785397,-0.19486791542343526,-0.14423147358497176,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.9551722423743706,0.2496661784800549,-0.9865571922514487,-1.1337726673373825,-0.7765718174113587,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,2.66839225697662,0.6075820969466192,2.682087905943913,2.233754207981718,3.103030305971522,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.29901366995091405,0.2841770439810724,-0.27983536138205944,-0.5023016808811035,-0.09572565902072461,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,6.293913372500026,0.057054190845044137,6.2785018774998775,6.253099263064455,6.334727481935597,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.26432382636560964,0.02028517711449637,-0.26537006846296174,-0.2788349679033027,-0.24981268482791658,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-2.6814521306911074,0.38817461312357876,-2.74517660657358,-2.9591355209115506,-2.4037687404706642,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,15.520213504985428,5.164496501513927,15.573719820964858,11.825755266766102,19.214671743204754,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-1.082408544186444,0.2731557751972291,-1.1382106529550078,-1.2778124143795522,-0.8870046739933357,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,12.439461700499965,0.06380554387338593,12.446055088499975,12.393817964050925,12.485105436949006,student-t,ok
w32_n20000_vs_w32_n10000,w32_n20000,w32_n10000,200,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.09477413186140615,0.03861558865183941,-0.08322041579678054,-0.1223980598816219,-0.0671502038411904,student-t,ok
w32_n20000_vs_w32_n10000,w32_n20000,w32_n10000,200,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-1.726279888316737,0.47133151797454775,-1.7679315226162318,-2.0634501447014664,-1.3891096319320078,student-t,ok
w32_n20000_vs_w32_n10000,w32_n20000,w32_n10000,200,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,6.194373693619837,2.9811316703377937,5.8590454363261655,4.061800565635833,8.32694682160384,student-t,ok
w32_n20000_vs_w32_n10000,w32_n20000,w32_n10000,200,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.7833948742355299,0.44596023532773377,-0.8584273226553505,-1.102415608365527,-0.4643741401055328,student-t,ok
w32_n20000_vs_w32_n10000,w32_n20000,w32_n10000,200,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,6.145548327999938,0.054596736423127505,6.155287508999777,6.106492175556194,6.184604480443682,student-t,ok
