comparison,left_config_id,right_config_id,left_selected_checkpoint,right_selected_checkpoint,metric,direction,n_pairs,mean,std_dev,median,ci95_lower,ci95_upper,ci_method,ci_status
w8_n100_vs_w16_n100,w8_n100,w16_n100,2,2,paired_difference_test_mse,left_minus_right; lower_is_better,2,-11.251045010439917,15.283236849410622,-11.251045010439917,-148.56548011895399,126.06339009807414,student-t,ok
w8_n100_vs_w16_n100,w8_n100,w16_n100,2,2,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,2,-0.009342061469799405,0.053295960363874774,-0.009342061469799405,-0.48818726703981186,0.4695031441002131,student-t,ok
w8_n100_vs_w16_n100,w8_n100,w16_n100,2,2,paired_ratio_test_vrr,left_div_right; above_1_favors_left,2,1.010102699435764,0.05380892216776056,1.010102699435764,0.526648714912258,1.49355668395927,student-t,ok
w8_n100_vs_w16_n100,w8_n100,w16_n100,2,2,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,2,-0.0416232742145876,0.1423942514178071,-0.0416232742145876,-1.3209848642229198,1.2377383157937445,student-t,ok
w8_n100_vs_w16_n100,w8_n100,w16_n100,2,2,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,2,0.0002071344999876601,9.76365972062199e-05,0.0002071344999876601,-0.0006700955215968466,0.0010843645215721667,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_difference_test_mse,left_minus_right; lower_is_better,2,5.088925001154848,8.512652435644842,5.088925001154848,-71.39422264572372,81.57207264803341,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,2,0.027709706893625626,0.013550813730994257,0.027709706893625626,-0.09403952404915913,0.1494589378364104,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_ratio_test_vrr,left_div_right; above_1_favors_left,2,0.9727153373129716,0.013180680968903664,0.9727153373129716,0.85429161729712,1.091139057328823,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,2,-0.20439818488958061,0.17987822072348122,-0.20439818488958061,-1.8205398772773387,1.4117435074981775,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,2,-0.006935003499961567,0.0038190207927922214,-0.006935003499961567,-0.04124754396485376,0.027377536964930622,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_difference_test_mse,left_minus_right; lower_is_better,2,16.339970011594765,6.77058441376578,16.339970011594765,-44.491317450040725,77.17125747323026,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,2,0.0370517683634249,0.0397451466328804,0.0370517683634249,-0.32004420626380176,0.39414774299065153,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_ratio_test_vrr,left_div_right; above_1_favors_left,2,0.9640068282311813,0.0383045084843259,0.9640068282311813,0.6198544738274524,1.3081591826349102,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,2,-0.162774910674993,0.037483969305674124,-0.162774910674993,-0.4995550130544188,0.1740051917044328,student-t,ok
