comparison,left_config_id,right_config_id,left_selected_checkpoint,right_selected_checkpoint,metric,direction,n_pairs,mean,std_dev,median,ci95_lower,ci95_upper,ci_method,ci_status
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.04886892224089072,0.02275564112098664,-0.054227175350388346,-0.06514732726657854,-0.03259051721520289,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.18399031666250623,0.08653150759999392,-0.20934541077675856,-0.24589122820821493,-0.12208940511679753,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.20597854655588,0.1012044989412903,1.2329730539890802,1.1335812093229272,1.278375883788833,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.42769875357401066,0.17430829652820776,-0.43907733821250006,-0.5523913972634465,-0.3030061098845748,student-t,ok
w16_n5000_vs_w32_n5000,w16_n5000,w32_n5000,25,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.06130010509992871,0.024116983044905612,-0.06275445449989547,-0.07855235547227937,-0.04404785472757805,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.07854309018658238,0.01933988946177155,-0.08010057444728812,-0.09237801367376994,-0.06470816669939483,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.3083156208846685,0.08459088300517098,-0.3202445931686801,-0.3688282932245741,-0.24780294854476292,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,1.3655291681226607,0.11587598754046607,1.3774749518550444,1.2826364801994177,1.4484218560459037,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.7836513330961213,0.09361416036325422,-0.7691049520365817,-0.8506188692086205,-0.7166837969836222,student-t,ok
w8_n5000_vs_w32_n5000,w8_n5000,w32_n5000,25,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-0.10840155599992159,0.021803953312089473,-0.11336399099991468,-0.12399916457918674,-0.09280394742065644,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.1695496945042035,0.03539243237594466,-0.1806389373785397,-0.19486791542343526,-0.14423147358497176,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-0.9551722423743706,0.2496661784800549,-0.9865571922514487,-1.1337726673373825,-0.7765718174113587,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,2.66839225697662,0.6075820969466192,2.682087905943913,2.233754207981718,3.103030305971522,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.29901366995091405,0.2841770439810724,-0.27983536138205944,-0.5023016808811035,-0.09572565902072461,student-t,ok
w32_n10000_vs_w32_n5000,w32_n10000,w32_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,6.293913372500026,0.057054190845044137,6.2785018774998775,6.253099263064455,6.334727481935597,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_difference_test_mse,left_minus_right; lower_is_better,10,-0.26432382636560964,0.02028517711449637,-0.26537006846296174,-0.2788349679033027,-0.24981268482791658,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,-2.6814521306911074,0.38817461312357876,-2.74517660657358,-2.9591355209115506,-2.4037687404706642,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,15.520213504985428,5.164496501513927,15.573719820964858,11.825755266766102,19.214671743204754,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-1.082408544186444,0.2731557751972291,-1.1382106529550078,-1.2778124143795522,-0.8870046739933357,student-t,ok
w32_n20000_vs_w32_n5000,w32_n20000,w32_n5000,200,25,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,12.439461700499965,0.06380554387338593,12.446055088499975,12.393817964050925,12.485105436949006,student-t,ok
w16_n5000_vs_w32_n10000,w16_n5000,w32_n10000,25,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,0.1206807722633128,0.037397446229947756,0.12634155057864965,0.09392825083705307,0.14743329368957253,student-t,ok
w16_n5000_vs_w32_n10000,w16_n5000,w32_n10000,25,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,0.7711819257118644,0.27529210509472307,0.8648961218623814,0.5742498171731523,0.9681140342505765,student-t,ok
w16_n5000_vs_w32_n10000,w16_n5000,w32_n10000,25,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,0.47961409818393586,0.14630317406832835,0.42112822781884884,0.3749551122487289,0.5842730841191428,student-t,ok
w16_n5000_vs_w32_n10000,w16_n5000,w32_n10000,25,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,-0.1286850836230966,0.37710613531000764,-0.2925605327097804,-0.3984505618010185,0.1410803945548253,student-t,ok
w16_n5000_vs_w32_n10000,w16_n5000,w32_n10000,25,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-6.355213477599955,0.05605925137551859,-6.346536154999853,-6.395315850214978,-6.315111104984933,student-t,ok
w8_n5000_vs_w32_n20000,w8_n5000,w32_n20000,25,200,paired_difference_test_mse,left_minus_right; lower_is_better,10,0.18578073617902727,0.023660438017524828,0.18661058729731084,0.16885507844490003,0.2027063939131545,student-t,ok
w8_n5000_vs_w32_n20000,w8_n5000,w32_n20000,25,200,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,10,2.373136509806439,0.4234173816500667,2.46543218745183,2.0702419617350474,2.6760310578778306,student-t,ok
w8_n5000_vs_w32_n20000,w8_n5000,w32_n20000,25,200,paired_ratio_test_vrr,left_div_right; above_1_favors_left,10,0.1022243528757502,0.0536217098618371,0.08498270693352589,0.06386569241612974,0.14058301333537065,student-t,ok
w8_n5000_vs_w32_n20000,w8_n5000,w32_n20000,25,200,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,10,0.29875721109032266,0.233400166033197,0.2990475095916474,0.13179279046377546,0.46572163171686987,student-t,ok
w8_n5000_vs_w32_n20000,w8_n5000,w32_n20000,25,200,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,10,-12.547863256499886,0.0645745327980145,-12.545509712499893,-12.594057094486775,-12.501669418512996,student-t,ok
