replication,seed_stream,seed
0,train,1042
0,validation,2042
0,test,3042
0,pilot,4042
0,init,5042
0,network_init::w32_n5000,5042
0,network_init::w16_n5000,170042
0,network_init::w8_n5000,90042
0,network_init::w32_n10000,5042
0,network_init::w32_n20000,5042
1,train,101042
1,validation,102042
1,test,103042
1,pilot,104042
1,init,105042
1,network_init::w32_n5000,105042
1,network_init::w16_n5000,270042
1,network_init::w8_n5000,190042
1,network_init::w32_n10000,105042
1,network_init::w32_n20000,105042
2,train,201042
2,validation,202042
2,test,203042
2,pilot,204042
2,init,205042
2,network_init::w32_n5000,205042
2,network_init::w16_n5000,370042
2,network_init::w8_n5000,290042
2,network_init::w32_n10000,205042
2,network_init::w32_n20000,205042
3,train,301042
3,validation,302042
3,test,303042
3,pilot,304042
3,init,305042
3,network_init::w32_n5000,305042
3,network_init::w16_n5000,470042
3,network_init::w8_n5000,390042
3,network_init::w32_n10000,305042
3,network_init::w32_n20000,305042
4,train,401042
4,validation,402042
4,test,403042
4,pilot,404042
4,init,405042
4,network_init::w32_n5000,405042
4,network_init::w16_n5000,570042
4,network_init::w8_n5000,490042
4,network_init::w32_n10000,405042
4,network_init::w32_n20000,405042
5,train,501042
5,validation,502042
5,test,503042
5,pilot,504042
5,init,505042
5,network_init::w32_n5000,505042
5,network_init::w16_n5000,670042
5,network_init::w8_n5000,590042
5,network_init::w32_n10000,505042
5,network_init::w32_n20000,505042
6,train,601042
6,validation,602042
6,test,603042
6,pilot,604042
6,init,605042
6,network_init::w32_n5000,605042
6,network_init::w16_n5000,770042
6,network_init::w8_n5000,690042
6,network_init::w32_n10000,605042
6,network_init::w32_n20000,605042
7,train,701042
7,validation,702042
7,test,703042
7,pilot,704042
7,init,705042
7,network_init::w32_n5000,705042
7,network_init::w16_n5000,870042
7,network_init::w8_n5000,790042
7,network_init::w32_n10000,705042
7,network_init::w32_n20000,705042
8,train,801042
8,validation,802042
8,test,803042
8,pilot,804042
8,init,805042
8,network_init::w32_n5000,805042
8,network_init::w16_n5000,970042
8,network_init::w8_n5000,890042
8,network_init::w32_n10000,805042
8,network_init::w32_n20000,805042
9,train,901042
9,validation,902042
9,test,903042
9,pilot,904042
9,init,905042
9,network_init::w32_n5000,905042
9,network_init::w16_n5000,1070042
9,network_init::w8_n5000,990042
9,network_init::w32_n10000,905042
9,network_init::w32_n20000,905042
