comparison,left_config_id,right_config_id,left_selected_checkpoint,right_selected_checkpoint,metric,direction,n_pairs,mean,std_dev,median,ci95_lower,ci95_upper,ci_method,ci_status
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_difference_test_mse,left_minus_right; lower_is_better,2,16.339970011594758,6.7705844137657705,16.339970011594758,-44.49131745004064,77.17125747323016,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,2,0.037051768363425004,0.03974514663288055,0.037051768363425004,-0.320044206263803,0.39414774299065297,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_ratio_test_vrr,left_div_right; above_1_favors_left,2,0.9640068282311813,0.03830450848432605,0.9640068282311813,0.619854473827451,1.3081591826349117,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,2,-0.16277491067499306,0.03748396930567391,-0.16277491067499306,-0.4995550130544169,0.1740051917044308,student-t,ok
w16_n100_vs_w32_n100,w16_n100,w32_n100,2,2,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,2,-0.007966308999925786,0.0035892754356037916,-0.007966308999925786,-0.04021466932732638,0.02428205132747481,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_difference_test_mse,left_minus_right; lower_is_better,2,5.088925001154841,8.512652435644851,5.088925001154841,-71.3942226457238,81.57207264803347,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_log_ratio_test_residual_variance,log(left/right); negative_favors_left,2,0.027709706893625737,0.013550813730994102,0.027709706893625737,-0.09403952404915764,0.1494589378364091,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_ratio_test_vrr,left_div_right; above_1_favors_left,2,0.9727153373129713,0.013180680968903428,0.9727153373129713,0.8542916172971219,1.0911390573288207,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_difference_log_generalization_gap,left_minus_right; lower_is_better,2,-0.20439818488958073,0.1798782207234809,-0.20439818488958073,-1.8205398772773358,1.4117435074981741,student-t,ok
w8_n100_vs_w32_n100,w8_n100,w32_n100,2,2,paired_difference_setup_runtime_s,left_minus_right; lower_is_better,2,-0.008762938499899064,0.00042278267996970843,-0.008762938499899064,-0.012561490170970168,-0.004964386828827961,student-t,ok
