replication,seed_stream,seed
0,train,1042
0,validation,2042
0,test,3042
0,pilot,4042
0,init,5042
0,network_init::w32_n100,5042
0,network_init::w16_n100,165142
0,network_init::w8_n100,85142
0,network_init::w32_n200,5042
0,network_init::w32_n400,5042
1,train,101042
1,validation,102042
1,test,103042
1,pilot,104042
1,init,105042
1,network_init::w32_n100,105042
1,network_init::w16_n100,265142
1,network_init::w8_n100,185142
1,network_init::w32_n200,105042
1,network_init::w32_n400,105042
