contract_id,method,Q,declared_budget_paths,shared_reference_training_paths_per_valuation,pilot_paths,target_training_paths,pricing_observations,pricing_simulated_paths,total_used_paths,feasible,infeasible_reason,estimated_observation_variance,estimated_estimator_variance,estimated_standard_error
strike_low,MC,1,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,1,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,1,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,1,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,1,10000,10000,0,0,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA,1,10000,10000,2000,0,-2000,-2000,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,MC,5,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,5,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,5,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,5,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,5,10000,2000,0,0,8000,8000,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,5,10000,2000,2000,0,6000,6000,10000,True,,,nan,nan
strike_low,MC,10,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,10,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,10,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,10,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,10,10000,1000,0,0,9000,9000,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,10,10000,1000,2000,0,7000,7000,10000,True,,,nan,nan
strike_low,MC,25,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,25,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,25,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,25,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,25,10000,400,0,0,9600,9600,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,25,10000,400,2000,0,7600,7600,10000,True,,,nan,nan
strike_low,MC,50,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,50,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,50,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,50,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,50,10000,200,0,0,9800,9800,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,50,10000,200,2000,0,7800,7800,10000,True,,,nan,nan
strike_low,MC,100,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,100,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,100,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,100,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,100,10000,100,0,0,9900,9900,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,100,10000,100,2000,0,7900,7900,10000,True,,,nan,nan
strike_low,MC,250,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,250,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,250,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,250,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,250,10000,40,0,0,9960,9960,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,250,10000,40,2000,0,7960,7960,10000,True,,,nan,nan
strike_low,MC,500,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,500,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,500,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
strike_low,NCV_SCRATCH,500,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
strike_low,NCV_TRANSFER_BETA1,500,10000,20,0,0,9980,9980,10000,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,500,10000,20,2000,0,7980,7980,10000,True,,,nan,nan
strike_low,MC,1000,10000,0,0,0,10000,10000,10000,True,,127.49945341779622,0.012749945341779622,0.11291565587543484
strike_low,AV,1000,10000,0,0,0,5000,10000,10000,True,,1.9604324990665078,0.00039208649981330157,0.019801174202892655
strike_low,GCV,1000,10000,0,2000,0,8000,8000,10000,True,,0.08522029899379711,1.065253737422464e-05,0.0032638225096081187
