contract_id,method,target_name,target_standard_error,observation_variance_estimate,required_pricing_observations
maturity_long,AV,target_gcv_standard_error,0.004812286885960765,32.938796369994726,1422345
maturity_long,GCV,target_gcv_standard_error,0.004812286885960765,0.23171399245543994,10006
maturity_long,MC,target_gcv_standard_error,0.004812286885960765,141.72103737697137,6119717
maturity_long,NCV_SCRATCH,target_gcv_standard_error,0.004812286885960765,,NA
maturity_long,NCV_TRANSFER_BETA,target_gcv_standard_error,0.004812286885960765,,NA
maturity_long,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.004812286885960765,,NA
maturity_long,AV,target_ncv_scratch_standard_error,,32.938796369994726,NA
maturity_long,GCV,target_ncv_scratch_standard_error,,0.23171399245543994,NA
maturity_long,MC,target_ncv_scratch_standard_error,,141.72103737697137,NA
maturity_long,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
maturity_long,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
maturity_long,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
maturity_long,AV,target_fixed_standard_error,0.05,32.938796369994726,13176
maturity_long,GCV,target_fixed_standard_error,0.05,0.23171399245543994,93
maturity_long,MC,target_fixed_standard_error,0.05,141.72103737697137,56689
maturity_long,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
maturity_long,NCV_TRANSFER_BETA,target_fixed_standard_error,0.05,,NA
maturity_long,NCV_TRANSFER_BETA1,target_fixed_standard_error,0.05,,NA
maturity_short,AV,target_gcv_standard_error,0.0010369365779390224,7.28352806529702,6773879
maturity_short,GCV,target_gcv_standard_error,0.0010369365779390224,0.010756642787390493,10004
maturity_short,MC,target_gcv_standard_error,0.0010369365779390224,29.371814460837445,27316584
maturity_short,NCV_SCRATCH,target_gcv_standard_error,0.0010369365779390224,,NA
maturity_short,NCV_TRANSFER_BETA,target_gcv_standard_error,0.0010369365779390224,,NA
maturity_short,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.0010369365779390224,,NA
maturity_short,AV,target_ncv_scratch_standard_error,,7.28352806529702,NA
maturity_short,GCV,target_ncv_scratch_standard_error,,0.010756642787390493,NA
maturity_short,MC,target_ncv_scratch_standard_error,,29.371814460837445,NA
maturity_short,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
maturity_short,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
maturity_short,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
maturity_short,AV,target_fixed_standard_error,0.05,7.28352806529702,2914
maturity_short,GCV,target_fixed_standard_error,0.05,0.010756642787390493,5
maturity_short,MC,target_fixed_standard_error,0.05,29.371814460837445,11749
maturity_short,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
maturity_short,NCV_TRANSFER_BETA,target_fixed_standard_error,0.05,,NA
maturity_short,NCV_TRANSFER_BETA1,target_fixed_standard_error,0.05,,NA
reference,AV,target_gcv_standard_error,0.002211676800892862,15.506228385763725,3170027
reference,GCV,target_gcv_standard_error,0.002211676800892862,0.048934821119739604,10005
reference,MC,target_gcv_standard_error,0.002211676800892862,64.20012084030436,13124795
reference,NCV_SCRATCH,target_gcv_standard_error,0.002211676800892862,,NA
reference,AV,target_ncv_scratch_standard_error,,15.506228385763725,NA
reference,GCV,target_ncv_scratch_standard_error,,0.048934821119739604,NA
reference,MC,target_ncv_scratch_standard_error,,64.20012084030436,NA
reference,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
reference,AV,target_fixed_standard_error,0.05,15.506228385763725,6203
reference,GCV,target_fixed_standard_error,0.05,0.048934821119739604,20
reference,MC,target_fixed_standard_error,0.05,64.20012084030436,25681
reference,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
strike_high,AV,target_gcv_standard_error,0.0017602867212702683,2.951046460260443,952378
