contract_id,method,pricing_observations,pricing_simulated_paths,pilot_paths,target_training_paths,shared_reference_training_paths,total_simulated_paths_per_valuation_q1,note
maturity_long,AV,10000,20000,0,0,0,20000,Equal pricing observations; total simulated paths differ by method.
maturity_long,GCV,10000,10000,2000,0,0,12000,Equal pricing observations; total simulated paths differ by method.
maturity_long,MC,10000,10000,0,0,0,10000,Equal pricing observations; total simulated paths differ by method.
maturity_long,NCV_SCRATCH,10000,10000,0,10000,0,20000,Equal pricing observations; total simulated paths differ by method.
maturity_long,NCV_TRANSFER_BETA,10000,10000,2000,0,10000,22000,Equal pricing observations; total simulated paths differ by method.
maturity_long,NCV_TRANSFER_BETA1,10000,10000,0,0,10000,20000,Equal pricing observations; total simulated paths differ by method.
maturity_short,AV,10000,20000,0,0,0,20000,Equal pricing observations; total simulated paths differ by method.
maturity_short,GCV,10000,10000,2000,0,0,12000,Equal pricing observations; total simulated paths differ by method.
maturity_short,MC,10000,10000,0,0,0,10000,Equal pricing observations; total simulated paths differ by method.
maturity_short,NCV_SCRATCH,10000,10000,0,10000,0,20000,Equal pricing observations; total simulated paths differ by method.
maturity_short,NCV_TRANSFER_BETA,10000,10000,2000,0,10000,22000,Equal pricing observations; total simulated paths differ by method.
maturity_short,NCV_TRANSFER_BETA1,10000,10000,0,0,10000,20000,Equal pricing observations; total simulated paths differ by method.
reference,AV,10000,20000,0,0,0,20000,Equal pricing observations; total simulated paths differ by method.
reference,GCV,10000,10000,2000,0,0,12000,Equal pricing observations; total simulated paths differ by method.
reference,MC,10000,10000,0,0,0,10000,Equal pricing observations; total simulated paths differ by method.
reference,NCV_SCRATCH,10000,10000,0,10000,0,20000,Equal pricing observations; total simulated paths differ by method.
strike_high,AV,10000,20000,0,0,0,20000,Equal pricing observations; total simulated paths differ by method.
strike_high,GCV,10000,10000,2000,0,0,12000,Equal pricing observations; total simulated paths differ by method.
strike_high,MC,10000,10000,0,0,0,10000,Equal pricing observations; total simulated paths differ by method.
strike_high,NCV_SCRATCH,10000,10000,0,10000,0,20000,Equal pricing observations; total simulated paths differ by method.
strike_high,NCV_TRANSFER_BETA,10000,10000,2000,0,10000,22000,Equal pricing observations; total simulated paths differ by method.
strike_high,NCV_TRANSFER_BETA1,10000,10000,0,0,10000,20000,Equal pricing observations; total simulated paths differ by method.
strike_low,AV,10000,20000,0,0,0,20000,Equal pricing observations; total simulated paths differ by method.
strike_low,GCV,10000,10000,2000,0,0,12000,Equal pricing observations; total simulated paths differ by method.
strike_low,MC,10000,10000,0,0,0,10000,Equal pricing observations; total simulated paths differ by method.
strike_low,NCV_SCRATCH,10000,10000,0,10000,0,20000,Equal pricing observations; total simulated paths differ by method.
strike_low,NCV_TRANSFER_BETA,10000,10000,2000,0,10000,22000,Equal pricing observations; total simulated paths differ by method.
strike_low,NCV_TRANSFER_BETA1,10000,10000,0,0,10000,20000,Equal pricing observations; total simulated paths differ by method.
volatility_high,AV,10000,20000,0,0,0,20000,Equal pricing observations; total simulated paths differ by method.
volatility_high,GCV,10000,10000,2000,0,0,12000,Equal pricing observations; total simulated paths differ by method.
volatility_high,MC,10000,10000,0,0,0,10000,Equal pricing observations; total simulated paths differ by method.
volatility_high,NCV_SCRATCH,10000,10000,0,10000,0,20000,Equal pricing observations; total simulated paths differ by method.
volatility_high,NCV_TRANSFER_BETA,10000,10000,2000,0,10000,22000,Equal pricing observations; total simulated paths differ by method.
volatility_high,NCV_TRANSFER_BETA1,10000,10000,0,0,10000,20000,Equal pricing observations; total simulated paths differ by method.
volatility_low,AV,10000,20000,0,0,0,20000,Equal pricing observations; total simulated paths differ by method.
volatility_low,GCV,10000,10000,2000,0,0,12000,Equal pricing observations; total simulated paths differ by method.
volatility_low,MC,10000,10000,0,0,0,10000,Equal pricing observations; total simulated paths differ by method.
volatility_low,NCV_SCRATCH,10000,10000,0,10000,0,20000,Equal pricing observations; total simulated paths differ by method.
volatility_low,NCV_TRANSFER_BETA,10000,10000,2000,0,10000,22000,Equal pricing observations; total simulated paths differ by method.
volatility_low,NCV_TRANSFER_BETA1,10000,10000,0,0,10000,20000,Equal pricing observations; total simulated paths differ by method.
