replication,contract_id,method,phase,runtime_s,timing_repetition_index
0,reference,MC,pricing,0.06523790399990048,1
0,reference,AV,pricing,0.09908496700006708,1
0,reference,GCV,pilot,0.01179381499991905,1
0,reference,GCV,pricing,0.048632419999989907,1
0,strike_low,MC,pricing,0.06391434499994375,1
0,strike_low,AV,pricing,0.0986790800000108,1
0,strike_low,GCV,pilot,0.011807180000005246,1
0,strike_low,GCV,pricing,0.04845828600002733,1
0,strike_high,MC,pricing,0.06402709399992546,1
0,strike_high,AV,pricing,0.0985674820000213,1
0,strike_high,GCV,pilot,0.011751496999977462,1
0,strike_high,GCV,pricing,0.048672135000060734,1
0,volatility_low,MC,pricing,0.06400874999997086,1
0,volatility_low,AV,pricing,0.099356843999999,1
0,volatility_low,GCV,pilot,0.011912056000028315,1
0,volatility_low,GCV,pricing,0.04924688599999172,1
0,volatility_high,MC,pricing,0.06457178099992689,1
0,volatility_high,AV,pricing,0.09899054100003468,1
0,volatility_high,GCV,pilot,0.011690111999996589,1
0,volatility_high,GCV,pricing,0.0488269139999602,1
0,maturity_short,MC,pricing,0.06392707800000608,1
0,maturity_short,AV,pricing,0.0997899530000268,1
0,maturity_short,GCV,pilot,0.01193667200004711,1
0,maturity_short,GCV,pricing,0.048726075000104174,1
0,maturity_long,MC,pricing,0.06470533999993222,1
0,maturity_long,AV,pricing,0.10054193500002384,1
0,maturity_long,GCV,pilot,0.011962931000084609,1
0,maturity_long,GCV,pricing,0.0489676759999611,1
1,reference,MC,pricing,0.06498608300000797,1
1,reference,AV,pricing,0.10055297600001722,1
1,reference,GCV,pilot,0.011953273000017361,1
1,reference,GCV,pricing,0.05379434099995706,1
1,strike_low,MC,pricing,0.06580096400000457,1
1,strike_low,AV,pricing,0.09992119699995783,1
1,strike_low,GCV,pilot,0.011670716000026005,1
1,strike_low,GCV,pricing,0.051407908999976826,1
1,strike_high,MC,pricing,0.06396964700002172,1
1,strike_high,AV,pricing,0.09908782299999075,1
1,strike_high,GCV,pilot,0.011734313999909318,1
1,strike_high,GCV,pricing,0.048596403000033206,1
1,volatility_low,MC,pricing,0.06465021700000761,1
1,volatility_low,AV,pricing,0.09943659299995034,1
