base_seed,replication,stream,seed_value
42,0,high_precision_anchor,9042
42,0,pilot_maturity_long,4642
42,0,pilot_maturity_short,4542
42,0,pilot_reference,4042
42,0,pilot_strike_high,4242
42,0,pilot_strike_low,4142
42,0,pilot_volatility_high,4442
42,0,pilot_volatility_low,4342
42,0,pricing_maturity_long,5642
42,0,pricing_maturity_short,5542
42,0,pricing_reference,5042
42,0,pricing_strike_high,5242
42,0,pricing_strike_low,5142
42,0,pricing_volatility_high,5442
42,0,pricing_volatility_low,5342
42,0,reference_training,1042
42,0,target_training_maturity_long,3642
42,0,target_training_maturity_short,3542
42,0,target_training_reference,3042
42,0,target_training_strike_high,3242
42,0,target_training_strike_low,3142
42,0,target_training_volatility_high,3442
42,0,target_training_volatility_low,3342
42,1,high_precision_anchor,109042
42,1,pilot_maturity_long,104642
42,1,pilot_maturity_short,104542
42,1,pilot_reference,104042
42,1,pilot_strike_high,104242
42,1,pilot_strike_low,104142
42,1,pilot_volatility_high,104442
42,1,pilot_volatility_low,104342
42,1,pricing_maturity_long,105642
42,1,pricing_maturity_short,105542
42,1,pricing_reference,105042
42,1,pricing_strike_high,105242
42,1,pricing_strike_low,105142
42,1,pricing_volatility_high,105442
42,1,pricing_volatility_low,105342
42,1,reference_training,101042
42,1,target_training_maturity_long,103642
42,1,target_training_maturity_short,103542
42,1,target_training_reference,103042
42,1,target_training_strike_high,103242
42,1,target_training_strike_low,103142
42,1,target_training_volatility_high,103442
42,1,target_training_volatility_low,103342
42,2,high_precision_anchor,209042
42,2,pilot_maturity_long,204642
42,2,pilot_maturity_short,204542
42,2,pilot_reference,204042
42,2,pilot_strike_high,204242
42,2,pilot_strike_low,204142
42,2,pilot_volatility_high,204442
42,2,pilot_volatility_low,204342
42,2,pricing_maturity_long,205642
42,2,pricing_maturity_short,205542
42,2,pricing_reference,205042
42,2,pricing_strike_high,205242
42,2,pricing_strike_low,205142
42,2,pricing_volatility_high,205442
42,2,pricing_volatility_low,205342
42,2,reference_training,201042
42,2,target_training_maturity_long,203642
42,2,target_training_maturity_short,203542
42,2,target_training_reference,203042
42,2,target_training_strike_high,203242
42,2,target_training_strike_low,203142
42,2,target_training_volatility_high,203442
42,2,target_training_volatility_low,203342
42,3,high_precision_anchor,309042
42,3,pilot_maturity_long,304642
42,3,pilot_maturity_short,304542
42,3,pilot_reference,304042
42,3,pilot_strike_high,304242
42,3,pilot_strike_low,304142
42,3,pilot_volatility_high,304442
42,3,pilot_volatility_low,304342
42,3,pricing_maturity_long,305642
