base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,error
42,0,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,5142,4142,3142,torch_not_available
42,0,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,5142,4142,3142,torch_not_available
42,0,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,5242,4242,3242,torch_not_available
42,0,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,5242,4242,3242,torch_not_available
42,0,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,5342,4342,3342,torch_not_available
42,0,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,5342,4342,3342,torch_not_available
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,5442,4442,3442,torch_not_available
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,5442,4442,3442,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,5542,4542,3542,torch_not_available
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,5542,4542,3542,torch_not_available
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,5642,4642,3642,torch_not_available
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,5642,4642,3642,torch_not_available
42,1,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,105142,104142,103142,torch_not_available
42,1,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,105142,104142,103142,torch_not_available
42,1,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,105242,104242,103242,torch_not_available
42,1,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,105242,104242,103242,torch_not_available
42,1,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,105342,104342,103342,torch_not_available
42,1,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,105342,104342,103342,torch_not_available
42,1,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,105442,104442,103442,torch_not_available
42,1,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,105442,104442,103442,torch_not_available
42,1,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,105542,104542,103542,torch_not_available
42,1,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,105542,104542,103542,torch_not_available
42,1,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,105642,104642,103642,torch_not_available
42,1,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,105642,104642,103642,torch_not_available
42,2,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,205142,204142,203142,torch_not_available
42,2,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,205142,204142,203142,torch_not_available
42,2,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,205242,204242,203242,torch_not_available
42,2,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,205242,204242,203242,torch_not_available
42,2,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,205342,204342,203342,torch_not_available
42,2,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,205342,204342,203342,torch_not_available
42,2,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,205442,204442,203442,torch_not_available
42,2,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,205442,204442,203442,torch_not_available
42,2,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,205542,204542,203542,torch_not_available
42,2,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,205542,204542,203542,torch_not_available
