base_seed,replication,stream,seed_value
42,0,ref_train,10001042
42,0,ref_val,10002042
42,0,high_prec,10009042
42,0,target_train_reference,10003042
42,0,pilot_reference,10004042
42,0,pricing_reference,10005042
42,0,target_train_strike_low,10003142
42,0,pilot_strike_low,10004142
42,0,pricing_strike_low,10005142
42,0,target_train_strike_high,10003242
42,0,pilot_strike_high,10004242
42,0,pricing_strike_high,10005242
42,0,target_train_volatility_low,10003342
42,0,pilot_volatility_low,10004342
42,0,pricing_volatility_low,10005342
42,0,target_train_volatility_high,10003442
42,0,pilot_volatility_high,10004442
42,0,pricing_volatility_high,10005442
42,0,target_train_maturity_short,10003542
42,0,pilot_maturity_short,10004542
42,0,pricing_maturity_short,10005542
42,0,target_train_maturity_long,10003642
42,0,pilot_maturity_long,10004642
42,0,pricing_maturity_long,10005642
42,1,ref_train,10101042
42,1,ref_val,10102042
42,1,high_prec,10109042
42,1,target_train_reference,10103042
42,1,pilot_reference,10104042
42,1,pricing_reference,10105042
42,1,target_train_strike_low,10103142
42,1,pilot_strike_low,10104142
42,1,pricing_strike_low,10105142
42,1,target_train_strike_high,10103242
42,1,pilot_strike_high,10104242
42,1,pricing_strike_high,10105242
42,1,target_train_volatility_low,10103342
42,1,pilot_volatility_low,10104342
42,1,pricing_volatility_low,10105342
42,1,target_train_volatility_high,10103442
42,1,pilot_volatility_high,10104442
42,1,pricing_volatility_high,10105442
42,1,target_train_maturity_short,10103542
42,1,pilot_maturity_short,10104542
42,1,pricing_maturity_short,10105542
42,1,target_train_maturity_long,10103642
42,1,pilot_maturity_long,10104642
42,1,pricing_maturity_long,10105642
42,2,ref_train,10201042
42,2,ref_val,10202042
42,2,high_prec,10209042
42,2,target_train_reference,10203042
42,2,pilot_reference,10204042
42,2,pricing_reference,10205042
42,2,target_train_strike_low,10203142
42,2,pilot_strike_low,10204142
42,2,pricing_strike_low,10205142
42,2,target_train_strike_high,10203242
42,2,pilot_strike_high,10204242
42,2,pricing_strike_high,10205242
42,2,target_train_volatility_low,10203342
42,2,pilot_volatility_low,10204342
42,2,pricing_volatility_low,10205342
42,2,target_train_volatility_high,10203442
42,2,pilot_volatility_high,10204442
42,2,pricing_volatility_high,10205442
42,2,target_train_maturity_short,10203542
42,2,pilot_maturity_short,10204542
42,2,pricing_maturity_short,10205542
42,2,target_train_maturity_long,10203642
42,2,pilot_maturity_long,10204642
42,2,pricing_maturity_long,10205642
42,3,ref_train,10301042
42,3,ref_val,10302042
42,3,high_prec,10309042
42,3,target_train_reference,10303042
42,3,pilot_reference,10304042
42,3,pricing_reference,10305042
42,3,target_train_strike_low,10303142
42,3,pilot_strike_low,10304142
42,3,pricing_strike_low,10305142
42,3,target_train_strike_high,10303242
42,3,pilot_strike_high,10304242
42,3,pricing_strike_high,10305242
42,3,target_train_volatility_low,10303342
42,3,pilot_volatility_low,10304342
42,3,pricing_volatility_low,10305342
42,3,target_train_volatility_high,10303442
42,3,pilot_volatility_high,10304442
42,3,pricing_volatility_high,10305442
42,3,target_train_maturity_short,10303542
42,3,pilot_maturity_short,10304542
42,3,pricing_maturity_short,10305542
42,3,target_train_maturity_long,10303642
42,3,pilot_maturity_long,10304642
42,3,pricing_maturity_long,10305642
42,4,ref_train,10401042
42,4,ref_val,10402042
42,4,high_prec,10409042
42,4,target_train_reference,10403042
42,4,pilot_reference,10404042
42,4,pricing_reference,10405042
42,4,target_train_strike_low,10403142
42,4,pilot_strike_low,10404142
42,4,pricing_strike_low,10405142
42,4,target_train_strike_high,10403242
42,4,pilot_strike_high,10404242
42,4,pricing_strike_high,10405242
42,4,target_train_volatility_low,10403342
42,4,pilot_volatility_low,10404342
42,4,pricing_volatility_low,10405342
42,4,target_train_volatility_high,10403442
42,4,pilot_volatility_high,10404442
42,4,pricing_volatility_high,10405442
42,4,target_train_maturity_short,10403542
42,4,pilot_maturity_short,10404542
42,4,pricing_maturity_short,10405542
42,4,target_train_maturity_long,10403642
42,4,pilot_maturity_long,10404642
42,4,pricing_maturity_long,10405642
