contract_id,method,target_definition,initial_cost_s,baseline_marginal_cost_s,proposed_marginal_cost_s,baseline_setup_cost_s,proposed_setup_cost_s,break_even_q,verified_q,verified_q_minus_1,q_minus_1_verification_status,cost_baseline_q_minus_1,cost_proposed_q_minus_1,cost_baseline_q,cost_proposed_q,failure_reason,break_even_q_mean_runtime_sensitivity,break_even_q_mean_runtime_sensitivity_reason
reference,MC,fixed_se_0.001,0.0,0.3802447196651031,401.57394990560164,0.007594118000042727,0.0,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
reference,AV,fixed_se_0.001,0.0,0.3802447196651031,152.32040972227426,0.007594118000042727,0.0,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
reference,NCV_SCRATCH,fixed_se_0.001,12.538067612000077,0.3802447196651031,0.14122062823894121,0.007594118000042727,12.538067612000077,53,True,True,verified_against_q_minus_1,19.780319540585403,19.88154028042502,20.160564260250506,20.02276090866396,,52,
strike_low,MC,fixed_se_0.001,0.0,0.659053038072402,865.2764250923759,0.007507083000064085,0.0,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
strike_low,AV,fixed_se_0.001,0.0,0.659053038072402,19.2898071746065,0.007507083000064085,0.0,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
strike_low,NCV_SCRATCH,fixed_se_0.001,12.532240808999859,0.659053038072402,1.6935165378644033,0.007507083000064085,12.532240808999859,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
strike_low,NCV_TRANSFER_BETA1,fixed_se_0.001,12.57665540999983,0.659053038072402,183.86782226982274,0.007507083000064085,12.57665540999983,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
strike_low,NCV_TRANSFER_BETA,fixed_se_0.001,12.584808863999797,0.659053038072402,143.73914856717641,0.007507083000064085,12.584808863999797,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
strike_high,MC,fixed_se_0.001,0.0,0.2454980406388091,43.10027238476016,0.0076864280001700536,0.0,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
strike_high,AV,fixed_se_0.001,0.0,0.2454980406388091,29.73294688286808,0.0076864280001700536,0.0,NA,False,False,not_verified,NA,NA,NA,NA,proposed_marginal_above_baseline_no_long_run_break_even,NA,proposed_marginal_above_baseline_no_long_run_break_even
