result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.035716395942955594
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,AV,1,50000,25000,50000,0,0,0,0,2,25000,0,25000,50000,50000,0,50000,True,,50000,True,0.02474055642210764
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,GCV,1,50000,49000,49000,0,1000,0,1000,1,49000,1000,50000,49000,50000,0,50000,True,,50000,True,0.000993303832425476
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,NCV_SCRATCH,1,50000,30000,30000,20000,0,0,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.0008416389350328865
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.05049838392548276
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,AV,1,50000,25000,50000,0,0,0,0,2,25000,0,25000,50000,50000,0,50000,True,,50000,True,0.008831845460162514
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,GCV,1,50000,49000,49000,0,1000,0,1000,1,49000,1000,50000,49000,50000,0,50000,True,,50000,True,0.0013156571452810505
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_SCRATCH,1,50000,30000,30000,20000,0,0,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.002921457255720404
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA1,1,50000,30000,30000,0,0,20000,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.02936645556410671
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA,1,50000,29000,29000,0,1000,20000,21000,1,29000,21000,50000,29000,50000,0,50000,True,,50000,True,0.026343217322875225
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.011208627336765083
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,AV,1,50000,25000,50000,0,0,0,0,2,25000,0,25000,50000,50000,0,50000,True,,50000,True,0.010952840657396937
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,GCV,1,50000,49000,49000,0,1000,0,1000,1,49000,1000,50000,49000,50000,0,50000,True,,50000,True,0.0008007720195028047
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_SCRATCH,1,50000,30000,30000,20000,0,0,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.001005148674158495
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA1,1,50000,30000,30000,0,0,20000,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.03791940080851756
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA,1,50000,29000,29000,0,1000,20000,21000,1,29000,21000,50000,29000,50000,0,50000,True,,50000,True,0.010843928360066658
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.018921353427329455
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,AV,1,50000,25000,50000,0,0,0,0,2,25000,0,25000,50000,50000,0,50000,True,,50000,True,0.010597300236840624
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,GCV,1,50000,49000,49000,0,1000,0,1000,1,49000,1000,50000,49000,50000,0,50000,True,,50000,True,0.000280175273414071
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_SCRATCH,1,50000,30000,30000,20000,0,0,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.00032155541918965164
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA1,1,50000,30000,30000,0,0,20000,20000,1,30000,20000,50000,30000,50000,0,50000,True,,50000,True,0.022163085826697564
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA,1,50000,29000,29000,0,1000,20000,21000,1,29000,21000,50000,29000,50000,0,50000,True,,50000,True,0.0035151519075589718
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,MC,1,50000,50000,50000,0,0,0,0,1,50000,0,50000,50000,50000,0,50000,True,,50000,True,0.09522043177218106
