base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,estimated_beta,payoff_control_correlation,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,parameter_hash,hash_verification,target_training_paths,pilot_paths,pricing_paths,marginal_runtime_s,error
42,0,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.917617558066944,128.59034983556336,63.169111113242735,82.70243311454065,20.314448488722945,ok,26.354594719724826,26.354594719724826,1.0,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,0,50000,0.3553459810000277,
42,0,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.3143027780579026,0.9153347546893941,128.59034983556336,63.169111113242735,82.70243311454065,20.314448488722945,ok,20.31607871728242,26.354594719724826,1.2972284212162253,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,1000,50000,0.358852595000144,
42,0,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.6787147702162947,6.475907433844917,64.06261050975024,13.82419758944309,3.49275645902041,ok,42.89012276470898,42.89012276470898,1.0,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,0,50000,0.3572538139999324,
42,0,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.22954433735139454,0.7041068355378015,6.475907433844917,64.06261050975024,13.82419758944309,3.49275645902041,ok,3.5048724490247958,42.89012276470898,12.237284919353579,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,1000,50000,0.3627908550001848,
42,0,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9899519022764036,17.960591375666944,63.310135144366186,33.3818983954943,0.35912617667394997,ok,14.506929729044485,14.506929729044485,1.0,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,0,50000,0.3577069790001133,
42,0,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.5242578991277087,0.9906988065511813,17.960591375666944,63.310135144366186,33.3818983954943,0.35912617667394997,ok,0.3597027653176834,14.506929729044485,40.33032583508834,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,1000,50000,0.3575759330001347,
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9803298192654005,445.77212051707363,62.188842738152616,163.22433289069394,17.364359983732868,ok,181.51229747383871,181.51229747383871,1.0,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,0,50000,0.3563831940000455,
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,2.5838974154799006,0.9820798406551049,445.77212051707363,62.188842738152616,163.22433289069394,17.364359983732868,ok,17.467673072118302,181.51229747383871,10.391326693855207,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,1000,50000,0.35595805699995253,
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9997093778334093,29.36162459836668,62.98690809483683,42.9921289798096,0.017063797991475838,ok,6.364274733584294,6.364274733584294,1.0,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,0,50000,0.3551755739999862,
42,0,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.6816823582212944,0.9997030387279194,29.36162459836668,62.98690809483683,42.9921289798096,0.017063797991475838,ok,0.0171119373096176,6.364274733584294,371.920175865027,residual_variance_beta_one / observed_residual_variance,1f9f0c5e928f55d4673962022a5a00ba7c117bfae17f13d0ab9fe01638936294,True,0,1000,50000,0.35681586900000184,
