result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,MC,1,200,200,200,0,0,0,0,1,200,0,200,200,200,0,200,True,,200,True,0.6195324174872908
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,AV,1,200,100,200,0,0,0,0,2,100,0,100,200,200,0,200,True,,200,True,0.4319850744375315
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.019577854013774224
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,0.7777492985459631
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,MC,1,200,200,200,0,0,0,0,1,200,0,200,200,200,0,200,True,,200,True,0.7687053410434584
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,AV,1,200,100,200,0,0,0,0,2,100,0,100,200,200,0,200,True,,200,True,0.12051631478802301
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.025339229428362697
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,1.0674135238801892
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA1,1,200,100,100,0,0,100,100,1,100,100,200,100,200,0,200,True,,200,True,1.010988388569358
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA,1,200,50,50,0,50,100,150,1,50,150,200,50,200,0,200,True,,200,True,1.4364778119287531
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,MC,1,200,200,200,0,0,0,0,1,200,0,200,200,200,0,200,True,,200,True,0.12846930316970184
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,AV,1,200,100,200,0,0,0,0,2,100,0,100,200,200,0,200,True,,200,True,0.19532901523731858
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.01595384514434224
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,0.23934539351336717
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA1,1,200,100,100,0,0,100,100,1,100,100,200,100,200,0,200,True,,200,True,0.3375258546829689
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA,1,200,50,50,0,50,100,150,1,50,150,200,50,200,0,200,True,,200,True,0.2510482779711029
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,MC,1,200,200,200,0,0,0,0,1,200,0,200,200,200,0,200,True,,200,True,0.3248510062242862
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,AV,1,200,100,200,0,0,0,0,2,100,0,100,200,200,0,200,True,,200,True,0.18207499600226595
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.00556243657704446
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,0.414017642560573
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA1,1,200,100,100,0,0,100,100,1,100,100,200,100,200,0,200,True,,200,True,0.436864986980933
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA,1,200,50,50,0,50,100,150,1,50,150,200,50,200,0,200,True,,200,True,0.6041254065864815
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,MC,1,200,200,200,0,0,0,0,1,200,0,200,200,200,0,200,True,,200,True,1.398890276043624
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,AV,1,200,100,200,0,0,0,0,2,100,0,100,200,200,0,200,True,,200,True,1.210703978283847
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,GCV,1,200,150,150,0,50,0,50,1,150,50,200,150,200,0,200,True,,200,True,0.1015353038931794
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,1.8468825052125457
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA1,1,200,100,100,0,0,100,100,1,100,100,200,100,200,0,200,True,,200,True,1.8657070707055363
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA,1,200,50,50,0,50,100,150,1,50,150,200,50,200,0,200,True,,200,True,2.584906571460618
