contract_id,replication,method,comparator,variance_ratio,is_valid,invalid_reason,beats_comparator
reference,0,MC,MC,1.0,True,,False
reference,0,MC,GCV,0.0008676082411539418,True,,False
reference,0,AV,MC,4.2505167099325964,True,,True
reference,0,AV,GCV,0.0036877833267000594,True,,False
reference,0,GCV,MC,1152.5939387919755,True,,True
reference,0,GCV,GCV,1.0,True,,False
reference,0,NCV_SCRATCH,MC,1.5051387587749823,True,,True
reference,0,NCV_SCRATCH,GCV,0.0013058707911933897,True,,False
strike_low,0,MC,MC,1.0,True,,False
strike_low,0,MC,GCV,0.0007296456474052531,True,,False
strike_low,0,AV,MC,101.319702499758,True,,True
strike_low,0,AV,GCV,0.07392747992534357,True,,False
strike_low,0,GCV,MC,1370.5282880205948,True,,True
strike_low,0,GCV,GCV,1.0,True,,False
strike_low,0,NCV_SCRATCH,MC,1.1012364266951773,True,,True
strike_low,0,NCV_SCRATCH,GCV,0.0008035123655022501,True,,False
strike_low,0,NCV_TRANSFER_BETA1,MC,1.0866843926866712,True,,True
strike_low,0,NCV_TRANSFER_BETA1,GCV,0.0007928945372270504,True,,False
strike_low,0,NCV_TRANSFER_BETA,MC,1.077757395968449,True,,True
strike_low,0,NCV_TRANSFER_BETA,GCV,0.0007863809929271986,True,,False
strike_high,0,MC,MC,1.0,True,,False
strike_high,0,MC,GCV,0.014954972932451042,True,,False
strike_high,0,AV,MC,1.1477852293404363,True,,True
strike_high,0,AV,GCV,0.017165097037053337,True,,False
strike_high,0,GCV,MC,66.86738949758201,True,,True
strike_high,0,GCV,GCV,1.0,True,,False
strike_high,0,NCV_SCRATCH,MC,0.6777674994080651,True,,False
strike_high,0,NCV_SCRATCH,GCV,0.010135994608142641,True,,False
strike_high,0,NCV_TRANSFER_BETA1,MC,0.31526304425283885,True,,False
strike_high,0,NCV_TRANSFER_BETA1,GCV,0.00471475029340332,True,,False
strike_high,0,NCV_TRANSFER_BETA,MC,1.0349470417808961,True,,True
strike_high,0,NCV_TRANSFER_BETA,GCV,0.01547760499635358,True,,False
volatility_low,0,MC,MC,1.0,True,,False
volatility_low,0,MC,GCV,0.0003024522043514378,True,,False
volatility_low,0,AV,MC,6.134975182455495,True,,True
volatility_low,0,AV,GCV,0.0018555367675750288,True,,False
volatility_low,0,GCV,MC,3306.3075276450577,True,,True
volatility_low,0,GCV,GCV,1.0,True,,False
volatility_low,0,NCV_SCRATCH,MC,1.270417261597663,True,,True
volatility_low,0,NCV_SCRATCH,GCV,0.00038424050121633037,True,,False
volatility_low,0,NCV_TRANSFER_BETA1,MC,0.9306954063933645,True,,False
volatility_low,0,NCV_TRANSFER_BETA1,GCV,0.0002814908772434303,True,,False
volatility_low,0,NCV_TRANSFER_BETA,MC,1.0691352180387164,True,,True
volatility_low,0,NCV_TRANSFER_BETA,GCV,0.0003233623034455649,True,,False
volatility_high,0,MC,MC,1.0,True,,False
volatility_high,0,MC,GCV,0.003142488724085241,True,,False
volatility_high,0,AV,MC,2.8038604252203916,True,,True
volatility_high,0,AV,GCV,0.00881109977016393,True,,False
volatility_high,0,GCV,MC,318.219121149303,True,,True
volatility_high,0,GCV,GCV,1.0,True,,False
volatility_high,0,NCV_SCRATCH,MC,1.1338066499235189,True,,True
volatility_high,0,NCV_SCRATCH,GCV,0.0035629746126775207,True,,False
volatility_high,0,NCV_TRANSFER_BETA1,MC,1.1088805450396229,True,,True
volatility_high,0,NCV_TRANSFER_BETA1,GCV,0.003484644609144511,True,,False
volatility_high,0,NCV_TRANSFER_BETA,MC,1.152814761820193,True,,True
volatility_high,0,NCV_TRANSFER_BETA,GCV,0.0036227073899789694,True,,False
maturity_short,0,MC,MC,1.0,True,,False
maturity_short,0,MC,GCV,0.000315959989747634,True,,False
maturity_short,0,AV,MC,4.440129559824799,True,,True
maturity_short,0,AV,GCV,0.00140290329020041,True,,False
maturity_short,0,GCV,MC,3164.957692265808,True,,True
maturity_short,0,GCV,GCV,1.0,True,,False
maturity_short,0,NCV_SCRATCH,MC,1.1265338709773567,True,,True
maturity_short,0,NCV_SCRATCH,GCV,0.00035593963032436805,True,,False
maturity_short,0,NCV_TRANSFER_BETA1,MC,1.2545478304180637,True,,True
maturity_short,0,NCV_TRANSFER_BETA1,GCV,0.0003963869196368078,True,,False
maturity_short,0,NCV_TRANSFER_BETA,MC,1.268849668968313,True,,True
maturity_short,0,NCV_TRANSFER_BETA,GCV,0.00040090572839851697,True,,False
maturity_long,0,MC,MC,1.0,True,,False
maturity_long,0,MC,GCV,0.00295154655673394,True,,False
maturity_long,0,AV,MC,3.279433358590612,True,,True
maturity_long,0,AV,GCV,0.00967940023758654,True,,False
maturity_long,0,GCV,MC,338.8054298918323,True,,True
maturity_long,0,GCV,GCV,1.0,True,,False
maturity_long,0,NCV_SCRATCH,MC,1.088904719468551,True,,True
maturity_long,0,NCV_SCRATCH,GCV,0.003213952975358738,True,,False
maturity_long,0,NCV_TRANSFER_BETA1,MC,1.0209021651319683,True,,True
maturity_long,0,NCV_TRANSFER_BETA1,GCV,0.003013240270257485,True,,False
