base_seed,replication,stream,seed_value
42,0,ref_train,10001042
42,0,ref_val,10002042
42,0,high_prec,10009042
42,0,target_train_reference,10003042
42,0,pilot_reference,10004042
42,0,pricing_reference,10005042
42,0,target_train_strike_low,10003142
42,0,pilot_strike_low,10004142
42,0,pricing_strike_low,10005142
42,0,target_train_strike_high,10003242
42,0,pilot_strike_high,10004242
42,0,pricing_strike_high,10005242
42,0,target_train_volatility_low,10003342
42,0,pilot_volatility_low,10004342
42,0,pricing_volatility_low,10005342
42,0,target_train_volatility_high,10003442
42,0,pilot_volatility_high,10004442
42,0,pricing_volatility_high,10005442
42,0,target_train_maturity_short,10003542
42,0,pilot_maturity_short,10004542
42,0,pricing_maturity_short,10005542
42,0,target_train_maturity_long,10003642
42,0,pilot_maturity_long,10004642
42,0,pricing_maturity_long,10005642
42,1,ref_train,10101042
42,1,ref_val,10102042
42,1,high_prec,10109042
42,1,target_train_reference,10103042
42,1,pilot_reference,10104042
42,1,pricing_reference,10105042
42,1,target_train_strike_low,10103142
42,1,pilot_strike_low,10104142
42,1,pricing_strike_low,10105142
42,1,target_train_strike_high,10103242
42,1,pilot_strike_high,10104242
42,1,pricing_strike_high,10105242
42,1,target_train_volatility_low,10103342
42,1,pilot_volatility_low,10104342
42,1,pricing_volatility_low,10105342
42,1,target_train_volatility_high,10103442
42,1,pilot_volatility_high,10104442
42,1,pricing_volatility_high,10105442
42,1,target_train_maturity_short,10103542
42,1,pilot_maturity_short,10104542
42,1,pricing_maturity_short,10105542
42,1,target_train_maturity_long,10103642
42,1,pilot_maturity_long,10104642
42,1,pricing_maturity_long,10105642
