contract_id,method,mean_training_runtime_s,mean_pilot_runtime_s,mean_marginal_pricing_runtime_s,mean_standalone_runtime_s,n
maturity_long,GCV,0.0,0.0002618654999650971,5.8229499927620054e-05,0.00032009499989271717,2
maturity_long,MC,0.0,0.0,5.322899994553154e-05,5.322899994553154e-05,2
maturity_long,NCV_TRANSFER_BETA,0.005334004500014089,8.565099994939374e-05,8.565099994939374e-05,0.0055053064999128765,2
maturity_long,NCV_TRANSFER_BETA1,0.005334004500014089,0.0,7.166199998209777e-05,0.005405666499996187,2
maturity_long,PCNCV_BETA,0.011177244999998948,0.00011297349999495054,0.00011297349999495054,0.011403191999988849,2
maturity_long,PCNCV_BETA1,0.011177244999998948,0.0,8.470000238958164e-07,0.011178092000022843,2
maturity_short,GCV,0.0,0.00026140900001792033,5.607099990356801e-05,0.00031747999992148834,2
maturity_short,MC,0.0,0.0,5.3962000038154656e-05,5.3962000038154656e-05,2
maturity_short,NCV_TRANSFER_BETA,0.005334004500014089,8.68319999653977e-05,8.68319999653977e-05,0.005507668499944884,2
maturity_short,NCV_TRANSFER_BETA1,0.005334004500014089,0.0,7.935099995393102e-05,0.00541335549996802,2
maturity_short,PCNCV_BETA,0.011177244999998948,0.00010693049989640713,0.00010693049989640713,0.011391105999791762,2
maturity_short,PCNCV_BETA1,0.011177244999998948,0.0,8.514999763065134e-07,0.011178096499975254,2
reference,GCV,0.0,0.000369046000059825,6.130849999408383e-05,0.00043035450005390885,2
reference,MC,0.0,0.0,7.926299997507158e-05,7.926299997507158e-05,2
reference,NCV_TRANSFER_BETA,0.005334004500014089,9.632350008814683e-05,9.632350008814683e-05,0.005526651500190383,2
reference,NCV_TRANSFER_BETA1,0.005334004500014089,0.0,8.244000002832763e-05,0.005416444500042417,2
reference,PCNCV_BETA,0.011177244999998948,0.0001239995000332783,0.0001239995000332783,0.011425244000065504,2
reference,PCNCV_BETA1,0.011177244999998948,0.0,9.33000023906061e-07,0.011178178000022854,2
strike_high,GCV,0.0,0.0002812630000335048,6.0917999917364796e-05,0.0003421809999508696,2
strike_high,MC,0.0,0.0,5.696599998827878e-05,5.696599998827878e-05,2
strike_high,NCV_TRANSFER_BETA,0.005334004500014089,9.879000003820693e-05,9.879000003820693e-05,0.005531584500090503,2
strike_high,NCV_TRANSFER_BETA1,0.005334004500014089,0.0,7.651650003026589e-05,0.005410521000044355,2
strike_high,PCNCV_BETA,0.011177244999998948,0.0001123699998970551,0.0001123699998970551,0.011401984999793058,2
strike_high,PCNCV_BETA1,0.011177244999998948,0.0,9.384998520545196e-07,0.011178183499851002,2
strike_low,GCV,0.0,0.0002816244999621631,6.015099995693163e-05,0.00034177549991909473,2
strike_low,MC,0.0,0.0,5.694000003586552e-05,5.694000003586552e-05,2
strike_low,NCV_TRANSFER_BETA,0.005334004500014089,9.356549992389773e-05,9.356549992389773e-05,0.0055211354998618845,2
strike_low,NCV_TRANSFER_BETA1,0.005334004500014089,0.0,7.807099996171019e-05,0.005412075499975799,2
strike_low,PCNCV_BETA,0.011177244999998948,0.00012986999990971526,0.00012986999990971526,0.011436984999818378,2
strike_low,PCNCV_BETA1,0.011177244999998948,0.0,1.0199998996540671e-06,0.011178264999898602,2
volatility_high,GCV,0.0,0.00027037600000312523,5.990550005208206e-05,0.0003302815000552073,2
volatility_high,MC,0.0,0.0,5.4636499953630846e-05,5.4636499953630846e-05,2
volatility_high,NCV_TRANSFER_BETA,0.005334004500014089,9.936000003563095e-05,9.936000003563095e-05,0.005532724500085351,2
volatility_high,NCV_TRANSFER_BETA1,0.005334004500014089,0.0,7.547949996933312e-05,0.005409483999983422,2
volatility_high,PCNCV_BETA,0.011177244999998948,0.0001118664999921748,0.0001118664999921748,0.011400977999983297,2
volatility_high,PCNCV_BETA1,0.011177244999998948,0.0,1.0055000529973768e-06,0.011178250500051945,2
volatility_low,GCV,0.0,0.000272825000024568,5.738149991429964e-05,0.00033020649993886764,2
volatility_low,MC,0.0,0.0,6.590450004750892e-05,6.590450004750892e-05,2
volatility_low,NCV_TRANSFER_BETA,0.005334004500014089,9.444200009056658e-05,9.444200009056658e-05,0.005522888500195222,2
volatility_low,NCV_TRANSFER_BETA1,0.005334004500014089,0.0,7.762900008856377e-05,0.005411633500102653,2
volatility_low,PCNCV_BETA,0.011177244999998948,0.00011436500005856942,0.00011436500005856942,0.011405975000116086,2
volatility_low,PCNCV_BETA1,0.011177244999998948,0.0,9.35999992179859e-07,0.011178180999991127,2
