replication,stream,seed,contract_id
0,training_parameters,1042,
0,training_shocks,2042,
0,validation_contracts,3042,
0,validation_shocks,4042,
0,gcv_pilot,5042,
0,conditional_ncv_pilot,6042,
0,frozen_ncv_pilot,7042,
0,final_pricing_shocks,8042,
0,reference_training,9042,
0,gcv_pilot_contract,5042,reference
0,conditional_ncv_pilot_contract,6042,reference
0,frozen_ncv_pilot_contract,7042,reference
0,final_pricing_shocks_contract,8042,reference
0,gcv_pilot_contract,5142,strike_low
0,conditional_ncv_pilot_contract,6142,strike_low
0,frozen_ncv_pilot_contract,7142,strike_low
0,final_pricing_shocks_contract,8142,strike_low
0,gcv_pilot_contract,5242,strike_high
0,conditional_ncv_pilot_contract,6242,strike_high
0,frozen_ncv_pilot_contract,7242,strike_high
0,final_pricing_shocks_contract,8242,strike_high
0,gcv_pilot_contract,5342,volatility_low
0,conditional_ncv_pilot_contract,6342,volatility_low
0,frozen_ncv_pilot_contract,7342,volatility_low
0,final_pricing_shocks_contract,8342,volatility_low
0,gcv_pilot_contract,5442,volatility_high
0,conditional_ncv_pilot_contract,6442,volatility_high
0,frozen_ncv_pilot_contract,7442,volatility_high
0,final_pricing_shocks_contract,8442,volatility_high
0,gcv_pilot_contract,5542,maturity_short
0,conditional_ncv_pilot_contract,6542,maturity_short
0,frozen_ncv_pilot_contract,7542,maturity_short
0,final_pricing_shocks_contract,8542,maturity_short
0,gcv_pilot_contract,5642,maturity_long
0,conditional_ncv_pilot_contract,6642,maturity_long
0,frozen_ncv_pilot_contract,7642,maturity_long
0,final_pricing_shocks_contract,8642,maturity_long
1,training_parameters,101042,
1,training_shocks,102042,
1,validation_contracts,103042,
1,validation_shocks,104042,
1,gcv_pilot,105042,
1,conditional_ncv_pilot,106042,
1,frozen_ncv_pilot,107042,
1,final_pricing_shocks,108042,
1,reference_training,109042,
1,gcv_pilot_contract,105042,reference
1,conditional_ncv_pilot_contract,106042,reference
1,frozen_ncv_pilot_contract,107042,reference
1,final_pricing_shocks_contract,108042,reference
1,gcv_pilot_contract,105142,strike_low
1,conditional_ncv_pilot_contract,106142,strike_low
1,frozen_ncv_pilot_contract,107142,strike_low
1,final_pricing_shocks_contract,108142,strike_low
1,gcv_pilot_contract,105242,strike_high
1,conditional_ncv_pilot_contract,106242,strike_high
1,frozen_ncv_pilot_contract,107242,strike_high
1,final_pricing_shocks_contract,108242,strike_high
1,gcv_pilot_contract,105342,volatility_low
1,conditional_ncv_pilot_contract,106342,volatility_low
1,frozen_ncv_pilot_contract,107342,volatility_low
1,final_pricing_shocks_contract,108342,volatility_low
1,gcv_pilot_contract,105442,volatility_high
1,conditional_ncv_pilot_contract,106442,volatility_high
1,frozen_ncv_pilot_contract,107442,volatility_high
1,final_pricing_shocks_contract,108442,volatility_high
1,gcv_pilot_contract,105542,maturity_short
1,conditional_ncv_pilot_contract,106542,maturity_short
1,frozen_ncv_pilot_contract,107542,maturity_short
1,final_pricing_shocks_contract,108542,maturity_short
1,gcv_pilot_contract,105642,maturity_long
1,conditional_ncv_pilot_contract,106642,maturity_long
1,frozen_ncv_pilot_contract,107642,maturity_long
1,final_pricing_shocks_contract,108642,maturity_long
