replication,monitoring_dates,ncv_epoch,trajectory_id,training_seed,validation_seed,pilot_seed,pricing_seed,mc_price,mc_observation_variance,mc_standard_error,gcv_price,gcv_observation_variance,gcv_estimator_variance,gcv_standard_error,ncv_price,ncv_observation_variance,ncv_estimator_variance,ncv_standard_error,gcv_vrr_vs_mc,ncv_vrr_vs_mc,ncv_to_gcv_advantage,ncv_beats_gcv,required_ncv_observations_to_match_gcv_50000,required_ncv_observations_reason,optimizer_cumulative_training_runtime_s,training_data_generation_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,mc_marginal_pricing_runtime_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason,break_even_verified_q,break_even_verified_q_minus_1,break_even_q_minus_1_verification_status
0,12,25,rep0_m12,1042,2042,3042,4042,6.165133627081949,72.69986387635967,0.0381313162312448,6.153640321356319,0.055973954719070865,1.1194790943814173e-06,0.0010580543910316792,6.154994276136369,0.12584018209648395,2.516803641929679e-06,0.0015864437090327783,1298.8159268223035,577.7158191063278,0.4448019208693978,False,112410,,0.28627941499985354,9.520001640339615e-07,0.2862803670000176,0.00035343400008969184,0.01962539599981028,0.026608224000028713,0.026985273000036614,0.05342875700011973,0.06066829075868232,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
0,12,1000,rep0_m12,1042,2042,3042,4042,6.165133627081949,72.69986387635967,0.0381313162312448,6.153640321356319,0.055973954719070865,1.1194790943814173e-06,0.0010580543910316792,6.156047662607385,0.002557179820881505,5.11435964176301e-08,0.00022614950014897248,1298.8159268223035,28429.70341104082,21.8889396287257,True,2285,,11.087061740999843,9.520001640339615e-07,11.087062693000007,0.00035343400008969184,0.01965372900008333,0.026659018999907858,0.023557930000151828,0.0013311320001321292,0.0010765974010069385,438,,True,True,verified_against_q_minus_1
0,252,25,rep0_m252,1042,2042,3042,4042,5.768708239722802,64.15232740551319,0.03581963913986661,5.7814759308235395,0.048397448305097526,9.679489661019506e-07,0.0009838439744705206,5.7799122934842915,0.2411800376984708,4.823600753969416e-06,0.00219626973615934,1325.5311933202945,265.993520930277,0.20066937863906134,False,249167,,0.404369140999961,1.6229998891503783e-06,0.40437076399985017,0.0001374280000163708,0.3454603790000874,0.39624781999987135,0.34383695699989403,NA,1.7134564612958518,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
0,252,1000,rep0_m252,1042,2042,3042,4042,5.768708239722802,64.15232740551319,0.03581963913986661,5.7814759308235395,0.048397448305097526,9.679489661019506e-07,0.0009838439744705206,5.779589317020157,0.26806449621497985,5.361289924299597e-06,0.0023154459450178484,1325.5311933202945,239.31676261247557,0.1805440443940185,False,276941,,15.5049172250001,1.6229998891503783e-06,15.504918847999988,0.0001374280000163708,0.34626573299988195,0.3973737970000002,0.34096141100008026,NA,1.8885238824754647,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,12,25,rep1_m12,101042,102042,103042,104042,6.1970022137566705,72.47376379906852,0.03807197494196184,6.155786947137971,0.055616125569477544,1.1123225113895508e-06,0.0010546670144598014,6.156289420207358,0.13643002227275927,2.7286004454551856e-06,0.001651847585419183,1303.1070225942267,531.2156561418317,0.40765312973625684,False,122654,,0.28007749799985504,1.4320000900625018e-06,0.2800789299999451,0.0001306750000367174,0.019576544000074136,0.026588116000084483,0.024259337999865238,0.05682931999990615,0.05951009686070942,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,12,1000,rep1_m12,101042,102042,103042,104042,6.1970022137566705,72.47376379906852,0.03807197494196184,6.155786947137971,0.055616125569477544,1.1123225113895508e-06,0.0010546670144598014,6.156104781748492,0.0027232279323126064,5.446455864625213e-08,0.00023337643121414838,1303.1070225942267,26613.183178362415,20.42286835764331,True,2449,,11.033165892999932,1.4320000900625018e-06,11.033167325000022,0.0001306750000367174,0.019570301999920048,0.026572626999950444,0.02356040400013626,0.0014139979998617491,0.001153988587926674,439,,True,True,verified_against_q_minus_1
1,252,25,rep1_m252,101042,102042,103042,104042,5.805043493595184,64.19050121500155,0.03583029478388408,5.779882185111437,0.0465765418392999,9.31530836785998e-07,0.0009651584516471883,5.781104534912962,0.28443153044927716,5.688630608985543e-06,0.0023850850318144936,1378.1723305365601,225.67997687741823,0.16375308941919828,False,305338,,0.400285077000035,8.409999736613827e-07,0.4002859180000087,0.00013163700009499735,0.34450763299992104,0.3952109860001656,0.34067047899998215,NA,2.0803928543379313,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,252,1000,rep1_m252,101042,102042,103042,104042,5.805043493595184,64.19050121500155,0.03583029478388408,5.779882185111437,0.0465765418392999,9.31530836785998e-07,0.0009651584516471883,5.781689805275083,0.34621994128112404,6.924398825622481e-06,0.0026314252460639047,1378.1723305365601,185.40382445181018,0.13452876708069403,False,371668,,15.504845235999937,8.409999736613827e-07,15.504846076999911,0.00013163700009499735,0.34498053199990864,0.39909779399999934,0.3409969719998571,NA,2.534753251784858,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
2,12,25,rep2_m12,201042,202042,203042,204042,6.0911276629763815,71.00843562774227,0.03768512587951439,6.155912819495816,0.055635772765876015,1.1127154553175203e-06,0.0010548532861576155,6.154454423970488,0.1187253810356723,2.374507620713446e-06,0.0015409437435264942,1276.3089662932662,598.0897682392532,0.4686089215343066,False,106699,,0.2814767429999847,1.0520000159885967e-06,0.2814777950000007,0.0001356450000002951,0.019595827999864923,0.02660274799995932,0.02532998500009853,0.04915128600009666,0.05405368139051027,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
2,12,1000,rep2_m12,201042,202042,203042,204042,6.0911276629763815,71.00843562774227,0.03768512587951439,6.155912819495816,0.055635772765876015,1.1127154553175203e-06,0.0010548532861576155,6.155562292127667,0.0030414385302025403,6.082877060405081e-08,0.0002466348933221956,1276.3089662932662,23346.99022275277,18.292584976942155,True,2734,,11.071853040000178,1.0520000159885967e-06,11.071854092000194,0.0001356450000002951,0.01964835800004039,0.0267034869998497,0.025609731000031388,0.004142394999917087,0.0014003400910817163,491,,True,True,verified_against_q_minus_1
2,252,25,rep2_m252,201042,202042,203042,204042,5.799595061650872,64.14633661016867,0.03581796661179098,5.781404768895423,0.04929474443207923,9.858948886415845e-07,0.0009929223980964395,5.7777479530981894,0.2809011033711068,5.618022067422136e-06,0.0023702367112636946,1301.2814519923663,228.35914790061554,0.1754878989099394,False,284920,,0.40252904399994804,8.709998837730382e-07,0.4025299149998318,0.00013890199988964014,0.3450434460000906,0.3914210279999679,0.3444679690001067,NA,1.962916274550208,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
2,252,1000,rep2_m252,201042,202042,203042,204042,5.799595061650872,64.14633661016867,0.03581796661179098,5.781404768895423,0.04929474443207923,9.858948886415845e-07,0.0009929223980964395,5.781927710423813,0.3418858740013166,6.837717480026332e-06,0.0026149029580514707,1301.2814519923663,187.62499853948822,0.14418479434423603,False,346778,,15.410418371999867,8.709998837730382e-07,15.410419242999751,0.00013890199988964014,0.34542891000000964,0.40776698200011197,0.34306087599998136,NA,2.3793192891504304,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
3,12,25,rep3_m12,301042,302042,303042,304042,6.190248872159787,72.8965520811882,0.03818286319311013,6.157929268855506,0.059445988703710914,1.1889197740742182e-06,0.001090375978309417,6.158392427615475,0.13818304248595004,2.7636608497190006e-06,0.0016624261937659068,1226.2652816578966,527.5361634087632,0.43019742244968423,False,116226,,0.27629502700006014,8.719998731976375e-07,0.27629589899993334,0.00013259999991532823,0.01964787199995044,0.026625223000110054,0.02364802899978713,0.0519105700000182,0.05497031637058518,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
