replication,contract_id,method,phase,runtime_s,timing_repetition_index
0,reference,MC,pricing,0.00015595100001064566,1
0,reference,AV,pricing,0.00019607599995197234,1
0,reference,GCV,pilot,0.00033005600005253655,1
0,reference,GCV,pricing,0.00026992400000835914,1
0,strike_low,MC,pricing,0.00013927999998486484,1
0,strike_low,AV,pricing,0.00018971400004375027,1
0,strike_low,GCV,pilot,0.00026310099997317593,1
0,strike_low,GCV,pricing,0.00026713900001595903,1
0,strike_high,MC,pricing,0.0001386890000958374,1
0,strike_high,AV,pricing,0.00018819100000655453,1
0,strike_high,GCV,pilot,0.0002463399999896865,1
0,strike_high,GCV,pricing,0.00026518499998928746,1
0,volatility_low,MC,pricing,0.00014949899991734128,1
0,volatility_low,AV,pricing,0.00022265500001594773,1
0,volatility_low,GCV,pilot,0.000239216999943892,1
0,volatility_low,GCV,pricing,0.0002629909999996016,1
0,volatility_high,MC,pricing,0.00017104899995956657,1
0,volatility_high,AV,pricing,0.00019580499997573497,1
0,volatility_high,GCV,pilot,0.0002264030000560524,1
0,volatility_high,GCV,pricing,0.00026260000004185713,1
0,maturity_short,MC,pricing,0.00016044999995301623,1
0,maturity_short,AV,pricing,0.00018784999997478735,1
0,maturity_short,GCV,pilot,0.0002243379999526951,1
0,maturity_short,GCV,pricing,0.00025752099998044287,1
0,maturity_long,MC,pricing,0.00014082300003792625,1
0,maturity_long,AV,pricing,0.00018509599999561033,1
0,maturity_long,GCV,pilot,0.0002285169999822756,1
0,maturity_long,GCV,pricing,0.0002901319999182306,1
1,reference,MC,pricing,0.00013795799998206348,1
1,reference,AV,pricing,0.00018876199999340315,1
1,reference,GCV,pilot,0.00022515000000566943,1
1,reference,GCV,pricing,0.00030292599990389135,1
1,strike_low,MC,pricing,0.00013544299997647613,1
1,strike_low,AV,pricing,0.00018330199998217722,1
1,strike_low,GCV,pilot,0.00022405900006106094,1
1,strike_low,GCV,pricing,0.00029785599997467216,1
1,strike_high,MC,pricing,0.00013585300007434853,1
1,strike_high,AV,pricing,0.00018296200005352148,1
1,strike_high,GCV,pilot,0.000223036999955184,1
1,strike_high,GCV,pricing,0.0002813050000440853,1
1,volatility_low,MC,pricing,0.00013473199999225471,1
1,volatility_low,AV,pricing,0.00018308199992134178,1
1,volatility_low,GCV,pilot,0.0002221450000661207,1
1,volatility_low,GCV,pricing,0.0002610579999782203,1
1,volatility_high,MC,pricing,0.0001360339999791904,1
1,volatility_high,AV,pricing,0.00018281100005879125,1
1,volatility_high,GCV,pilot,0.0002527619999455055,1
1,volatility_high,GCV,pricing,0.0002608469999358931,1
1,maturity_short,MC,pricing,0.0001338800000212359,1
1,maturity_short,AV,pricing,0.0001825410000719785,1
1,maturity_short,GCV,pilot,0.00026472399997601315,1
1,maturity_short,GCV,pricing,0.0002538139999614941,1
1,maturity_long,MC,pricing,0.00013400000000274304,1
1,maturity_long,AV,pricing,0.00018925300003047596,1
1,maturity_long,GCV,pilot,0.00025213100002474675,1
1,maturity_long,GCV,pricing,0.00026098700004695274,1
