contract_id,method,pricing_observations,pricing_simulated_paths,note
maturity_long,AV,200,400,Equal pricing observations; total simulated paths differ by method.
maturity_long,GCV,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_long,MC,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_long,NCV_SCRATCH,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_long,NCV_TRANSFER_BETA,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_long,NCV_TRANSFER_BETA1,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_short,AV,200,400,Equal pricing observations; total simulated paths differ by method.
maturity_short,GCV,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_short,MC,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_short,NCV_SCRATCH,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_short,NCV_TRANSFER_BETA,200,200,Equal pricing observations; total simulated paths differ by method.
maturity_short,NCV_TRANSFER_BETA1,200,200,Equal pricing observations; total simulated paths differ by method.
reference,AV,200,400,Equal pricing observations; total simulated paths differ by method.
reference,GCV,200,200,Equal pricing observations; total simulated paths differ by method.
reference,MC,200,200,Equal pricing observations; total simulated paths differ by method.
reference,NCV_SCRATCH,200,200,Equal pricing observations; total simulated paths differ by method.
strike_high,AV,200,400,Equal pricing observations; total simulated paths differ by method.
strike_high,GCV,200,200,Equal pricing observations; total simulated paths differ by method.
strike_high,MC,200,200,Equal pricing observations; total simulated paths differ by method.
strike_high,NCV_SCRATCH,200,200,Equal pricing observations; total simulated paths differ by method.
strike_high,NCV_TRANSFER_BETA,200,200,Equal pricing observations; total simulated paths differ by method.
strike_high,NCV_TRANSFER_BETA1,200,200,Equal pricing observations; total simulated paths differ by method.
strike_low,AV,200,400,Equal pricing observations; total simulated paths differ by method.
strike_low,GCV,200,200,Equal pricing observations; total simulated paths differ by method.
strike_low,MC,200,200,Equal pricing observations; total simulated paths differ by method.
strike_low,NCV_SCRATCH,200,200,Equal pricing observations; total simulated paths differ by method.
strike_low,NCV_TRANSFER_BETA,200,200,Equal pricing observations; total simulated paths differ by method.
strike_low,NCV_TRANSFER_BETA1,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_high,AV,200,400,Equal pricing observations; total simulated paths differ by method.
volatility_high,GCV,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_high,MC,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_high,NCV_SCRATCH,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_high,NCV_TRANSFER_BETA,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_high,NCV_TRANSFER_BETA1,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_low,AV,200,400,Equal pricing observations; total simulated paths differ by method.
volatility_low,GCV,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_low,MC,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_low,NCV_SCRATCH,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_low,NCV_TRANSFER_BETA,200,200,Equal pricing observations; total simulated paths differ by method.
volatility_low,NCV_TRANSFER_BETA1,200,200,Equal pricing observations; total simulated paths differ by method.
