contract_id,method,target_name,target_standard_error,observation_variance_estimate,required_pricing_observations
maturity_long,AV,target_gcv_standard_error,0.04452526832951848,34.233545091294516,17268
maturity_long,GCV,target_gcv_standard_error,0.04452526832951848,0.4379474028774878,221
maturity_long,MC,target_gcv_standard_error,0.04452526832951848,148.37125211886084,74841
maturity_long,NCV_SCRATCH,target_gcv_standard_error,0.04452526832951848,,NA
maturity_long,NCV_TRANSFER_BETA,target_gcv_standard_error,0.04452526832951848,,NA
maturity_long,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.04452526832951848,,NA
maturity_long,AV,target_ncv_scratch_standard_error,,34.233545091294516,NA
maturity_long,GCV,target_ncv_scratch_standard_error,,0.4379474028774878,NA
maturity_long,MC,target_ncv_scratch_standard_error,,148.37125211886084,NA
maturity_long,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
maturity_long,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
maturity_long,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
maturity_long,AV,target_fixed_standard_error,0.05,34.233545091294516,13694
maturity_long,GCV,target_fixed_standard_error,0.05,0.4379474028774878,176
maturity_long,MC,target_fixed_standard_error,0.05,148.37125211886084,59349
maturity_long,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
maturity_long,NCV_TRANSFER_BETA,target_fixed_standard_error,0.05,,NA
maturity_long,NCV_TRANSFER_BETA1,target_fixed_standard_error,0.05,,NA
maturity_short,AV,target_gcv_standard_error,0.00871708238468286,8.741569890537905,115040
maturity_short,GCV,target_gcv_standard_error,0.00871708238468286,0.015248690213371377,201
maturity_short,MC,target_gcv_standard_error,0.00871708238468286,35.519342083575175,467437
maturity_short,NCV_SCRATCH,target_gcv_standard_error,0.00871708238468286,,NA
maturity_short,NCV_TRANSFER_BETA,target_gcv_standard_error,0.00871708238468286,,NA
maturity_short,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.00871708238468286,,NA
maturity_short,AV,target_ncv_scratch_standard_error,,8.741569890537905,NA
maturity_short,GCV,target_ncv_scratch_standard_error,,0.015248690213371377,NA
maturity_short,MC,target_ncv_scratch_standard_error,,35.519342083575175,NA
maturity_short,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
maturity_short,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
maturity_short,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
maturity_short,AV,target_fixed_standard_error,0.05,8.741569890537905,3497
maturity_short,GCV,target_fixed_standard_error,0.05,0.015248690213371377,7
