contract_id,method,Q,declared_budget_paths,shared_reference_training_paths_per_valuation,pilot_paths,target_training_paths,pricing_observations,pricing_simulated_paths,total_used_paths,feasible,infeasible_reason,estimated_observation_variance,estimated_estimator_variance,estimated_standard_error
strike_low,MC,1,200,0,0,0,200,200,200,True,,135.14902688469584,0.6757451344234792,0.8220371855478796
strike_low,AV,1,200,0,0,0,100,200,200,True,,1.876648978929214,0.01876648978929214,0.13699083834071582
strike_low,GCV,1,200,0,50,0,150,150,200,True,,0.07945887130374393,0.0005297258086916262,0.02301577304136505
strike_low,NCV_SCRATCH,1,200,0,0,100,100,100,200,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA1,1,200,100,0,0,100,100,200,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,1,200,100,50,0,50,50,200,True,,,nan,nan
strike_low,MC,5,200,0,0,0,200,200,200,True,,135.14902688469584,0.6757451344234792,0.8220371855478796
strike_low,AV,5,200,0,0,0,100,200,200,True,,1.876648978929214,0.01876648978929214,0.13699083834071582
strike_low,GCV,5,200,0,50,0,150,150,200,True,,0.07945887130374393,0.0005297258086916262,0.02301577304136505
strike_low,NCV_SCRATCH,5,200,0,0,100,100,100,200,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA1,5,200,20,0,0,180,180,200,True,,,nan,nan
strike_low,NCV_TRANSFER_BETA,5,200,20,50,0,130,130,200,True,,,nan,nan
strike_high,MC,1,200,0,0,0,200,200,200,True,,5.604806559360201,0.028024032796801004,0.16740380161991844
strike_high,AV,1,200,0,0,0,100,200,200,True,,4.766822646389157,0.047668226463891565,0.21833054404707455
strike_high,GCV,1,200,0,50,0,150,150,200,True,,0.02723859097354942,0.00018159060649032948,0.013475555887989536
strike_high,NCV_SCRATCH,1,200,0,0,100,100,100,200,True,,,nan,nan
strike_high,NCV_TRANSFER_BETA1,1,200,100,0,0,100,100,200,True,,,nan,nan
strike_high,NCV_TRANSFER_BETA,1,200,100,50,0,50,50,200,True,,,nan,nan
strike_high,MC,5,200,0,0,0,200,200,200,True,,5.604806559360201,0.028024032796801004,0.16740380161991844
strike_high,AV,5,200,0,0,0,100,200,200,True,,4.766822646389157,0.047668226463891565,0.21833054404707455
strike_high,GCV,5,200,0,50,0,150,150,200,True,,0.02723859097354942,0.00018159060649032948,0.013475555887989536
strike_high,NCV_SCRATCH,5,200,0,0,100,100,100,200,True,,,nan,nan
strike_high,NCV_TRANSFER_BETA1,5,200,20,0,0,180,180,200,True,,,nan,nan
strike_high,NCV_TRANSFER_BETA,5,200,20,50,0,130,130,200,True,,,nan,nan
volatility_low,MC,1,200,0,0,0,200,200,200,True,,19.655979105268344,0.09827989552634171,0.31349624483610916
volatility_low,AV,1,200,0,0,0,100,200,200,True,,2.8495351018704262,0.028495351018704262,0.16880566050551818
volatility_low,GCV,1,200,0,50,0,150,150,200,True,,0.005451365879166553,3.6342439194443684e-05,0.00602846905892729
volatility_low,NCV_SCRATCH,1,200,0,0,100,100,100,200,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,1,200,100,0,0,100,100,200,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,1,200,100,50,0,50,50,200,True,,,nan,nan
volatility_low,MC,5,200,0,0,0,200,200,200,True,,19.655979105268344,0.09827989552634171,0.31349624483610916
volatility_low,AV,5,200,0,0,0,100,200,200,True,,2.8495351018704262,0.028495351018704262,0.16880566050551818
volatility_low,GCV,5,200,0,50,0,150,150,200,True,,0.005451365879166553,3.6342439194443684e-05,0.00602846905892729
volatility_low,NCV_SCRATCH,5,200,0,0,100,100,100,200,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA1,5,200,20,0,0,180,180,200,True,,,nan,nan
volatility_low,NCV_TRANSFER_BETA,5,200,20,50,0,130,130,200,True,,,nan,nan
volatility_high,MC,1,200,0,0,0,200,200,200,True,,666.6390166250001,3.333195083125,1.825703996579128
volatility_high,AV,1,200,0,0,0,100,200,200,True,,207.6714203015663,2.076714203015663,1.441080914805155
volatility_high,GCV,1,200,0,50,0,150,150,200,True,,1.8530125548119525,0.012353417032079683,0.1111459267453364
volatility_high,NCV_SCRATCH,1,200,0,0,100,100,100,200,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,1,200,100,0,0,100,100,200,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,1,200,100,50,0,50,50,200,True,,,nan,nan
volatility_high,MC,5,200,0,0,0,200,200,200,True,,666.6390166250001,3.333195083125,1.825703996579128
volatility_high,AV,5,200,0,0,0,100,200,200,True,,207.6714203015663,2.076714203015663,1.441080914805155
volatility_high,GCV,5,200,0,50,0,150,150,200,True,,1.8530125548119525,0.012353417032079683,0.1111459267453364
volatility_high,NCV_SCRATCH,5,200,0,0,100,100,100,200,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,5,200,20,0,0,180,180,200,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,5,200,20,50,0,130,130,200,True,,,nan,nan
maturity_short,MC,1,200,0,0,0,200,200,200,True,,35.519342083575175,0.17759671041787586,0.4214222471795668
maturity_short,AV,1,200,0,0,0,100,200,200,True,,8.741569890537905,0.08741569890537905,0.2956614599594933
maturity_short,GCV,1,200,0,50,0,150,150,200,True,,0.015248690213371377,0.00010165793475580918,0.01008255596343552
maturity_short,NCV_SCRATCH,1,200,0,0,100,100,100,200,True,,,nan,nan
maturity_short,NCV_TRANSFER_BETA1,1,200,100,0,0,100,100,200,True,,,nan,nan
maturity_short,NCV_TRANSFER_BETA,1,200,100,50,0,50,50,200,True,,,nan,nan
maturity_short,MC,5,200,0,0,0,200,200,200,True,,35.519342083575175,0.17759671041787586,0.4214222471795668
maturity_short,AV,5,200,0,0,0,100,200,200,True,,8.741569890537905,0.08741569890537905,0.2956614599594933
maturity_short,GCV,5,200,0,50,0,150,150,200,True,,0.015248690213371377,0.00010165793475580918,0.01008255596343552
maturity_short,NCV_SCRATCH,5,200,0,0,100,100,100,200,True,,,nan,nan
maturity_short,NCV_TRANSFER_BETA1,5,200,20,0,0,180,180,200,True,,,nan,nan
maturity_short,NCV_TRANSFER_BETA,5,200,20,50,0,130,130,200,True,,,nan,nan
maturity_long,MC,1,200,0,0,0,200,200,200,True,,148.37125211886084,0.7418562605943042,0.8613107804934896
maturity_long,AV,1,200,0,0,0,100,200,200,True,,34.233545091294516,0.34233545091294515,0.5850943948739769
maturity_long,GCV,1,200,0,50,0,150,150,200,True,,0.4379474028774878,0.0029196493525165852,0.05403377973561155
maturity_long,NCV_SCRATCH,1,200,0,0,100,100,100,200,True,,,nan,nan
maturity_long,NCV_TRANSFER_BETA1,1,200,100,0,0,100,100,200,True,,,nan,nan
maturity_long,NCV_TRANSFER_BETA,1,200,100,50,0,50,50,200,True,,,nan,nan
maturity_long,MC,5,200,0,0,0,200,200,200,True,,148.37125211886084,0.7418562605943042,0.8613107804934896
maturity_long,AV,5,200,0,0,0,100,200,200,True,,34.233545091294516,0.34233545091294515,0.5850943948739769
maturity_long,GCV,5,200,0,50,0,150,150,200,True,,0.4379474028774878,0.0029196493525165852,0.05403377973561155
maturity_long,NCV_SCRATCH,5,200,0,0,100,100,100,200,True,,,nan,nan
maturity_long,NCV_TRANSFER_BETA1,5,200,20,0,0,180,180,200,True,,,nan,nan
maturity_long,NCV_TRANSFER_BETA,5,200,20,50,0,130,130,200,True,,,nan,nan
