replication,monitoring_dates,stream,seed,shared_across_monitoring_profiles
0,12,train,1042,True
0,12,validation,2042,True
0,12,pilot,3042,True
0,12,pricing,4042,True
0,12,runtime,5042,True
0,252,train,1042,True
0,252,validation,2042,True
0,252,pilot,3042,True
0,252,pricing,4042,True
0,252,runtime,5042,True
1,12,train,101042,True
1,12,validation,102042,True
1,12,pilot,103042,True
1,12,pricing,104042,True
1,12,runtime,105042,True
1,252,train,101042,True
1,252,validation,102042,True
1,252,pilot,103042,True
1,252,pricing,104042,True
1,252,runtime,105042,True
2,12,train,201042,True
2,12,validation,202042,True
2,12,pilot,203042,True
2,12,pricing,204042,True
2,12,runtime,205042,True
2,252,train,201042,True
2,252,validation,202042,True
2,252,pilot,203042,True
2,252,pricing,204042,True
2,252,runtime,205042,True
3,12,train,301042,True
3,12,validation,302042,True
3,12,pilot,303042,True
3,12,pricing,304042,True
3,12,runtime,305042,True
3,252,train,301042,True
3,252,validation,302042,True
3,252,pilot,303042,True
3,252,pricing,304042,True
3,252,runtime,305042,True
4,12,train,401042,True
4,12,validation,402042,True
4,12,pilot,403042,True
4,12,pricing,404042,True
4,12,runtime,405042,True
4,252,train,401042,True
4,252,validation,402042,True
4,252,pilot,403042,True
4,252,pricing,404042,True
4,252,runtime,405042,True
5,12,train,501042,True
5,12,validation,502042,True
5,12,pilot,503042,True
5,12,pricing,504042,True
5,12,runtime,505042,True
5,252,train,501042,True
5,252,validation,502042,True
5,252,pilot,503042,True
5,252,pricing,504042,True
5,252,runtime,505042,True
6,12,train,601042,True
6,12,validation,602042,True
6,12,pilot,603042,True
6,12,pricing,604042,True
6,12,runtime,605042,True
6,252,train,601042,True
6,252,validation,602042,True
6,252,pilot,603042,True
6,252,pricing,604042,True
6,252,runtime,605042,True
7,12,train,701042,True
7,12,validation,702042,True
7,12,pilot,703042,True
7,12,pricing,704042,True
7,12,runtime,705042,True
7,252,train,701042,True
7,252,validation,702042,True
7,252,pilot,703042,True
7,252,pricing,704042,True
7,252,runtime,705042,True
8,12,train,801042,True
8,12,validation,802042,True
8,12,pilot,803042,True
8,12,pricing,804042,True
8,12,runtime,805042,True
8,252,train,801042,True
8,252,validation,802042,True
8,252,pilot,803042,True
8,252,pricing,804042,True
8,252,runtime,805042,True
9,12,train,901042,True
9,12,validation,902042,True
9,12,pilot,903042,True
9,12,pricing,904042,True
9,12,runtime,905042,True
9,252,train,901042,True
9,252,validation,902042,True
9,252,pilot,903042,True
9,252,pricing,904042,True
9,252,runtime,905042,True
10,12,train,1001042,True
10,12,validation,1002042,True
10,12,pilot,1003042,True
10,12,pricing,1004042,True
10,12,runtime,1005042,True
10,252,train,1001042,True
10,252,validation,1002042,True
10,252,pilot,1003042,True
10,252,pricing,1004042,True
10,252,runtime,1005042,True
11,12,train,1101042,True
11,12,validation,1102042,True
11,12,pilot,1103042,True
11,12,pricing,1104042,True
11,12,runtime,1105042,True
11,252,train,1101042,True
11,252,validation,1102042,True
11,252,pilot,1103042,True
11,252,pricing,1104042,True
11,252,runtime,1105042,True
12,12,train,1201042,True
12,12,validation,1202042,True
12,12,pilot,1203042,True
12,12,pricing,1204042,True
12,12,runtime,1205042,True
12,252,train,1201042,True
12,252,validation,1202042,True
12,252,pilot,1203042,True
12,252,pricing,1204042,True
12,252,runtime,1205042,True
13,12,train,1301042,True
13,12,validation,1302042,True
13,12,pilot,1303042,True
13,12,pricing,1304042,True
13,12,runtime,1305042,True
13,252,train,1301042,True
13,252,validation,1302042,True
13,252,pilot,1303042,True
13,252,pricing,1304042,True
13,252,runtime,1305042,True
14,12,train,1401042,True
14,12,validation,1402042,True
14,12,pilot,1403042,True
14,12,pricing,1404042,True
14,12,runtime,1405042,True
14,252,train,1401042,True
14,252,validation,1402042,True
14,252,pilot,1403042,True
14,252,pricing,1404042,True
14,252,runtime,1405042,True
15,12,train,1501042,True
15,12,validation,1502042,True
15,12,pilot,1503042,True
15,12,pricing,1504042,True
15,12,runtime,1505042,True
15,252,train,1501042,True
15,252,validation,1502042,True
15,252,pilot,1503042,True
15,252,pricing,1504042,True
15,252,runtime,1505042,True
16,12,train,1601042,True
16,12,validation,1602042,True
16,12,pilot,1603042,True
16,12,pricing,1604042,True
16,12,runtime,1605042,True
16,252,train,1601042,True
16,252,validation,1602042,True
16,252,pilot,1603042,True
16,252,pricing,1604042,True
16,252,runtime,1605042,True
17,12,train,1701042,True
17,12,validation,1702042,True
17,12,pilot,1703042,True
17,12,pricing,1704042,True
17,12,runtime,1705042,True
17,252,train,1701042,True
17,252,validation,1702042,True
17,252,pilot,1703042,True
17,252,pricing,1704042,True
17,252,runtime,1705042,True
18,12,train,1801042,True
18,12,validation,1802042,True
18,12,pilot,1803042,True
18,12,pricing,1804042,True
18,12,runtime,1805042,True
18,252,train,1801042,True
18,252,validation,1802042,True
18,252,pilot,1803042,True
18,252,pricing,1804042,True
18,252,runtime,1805042,True
19,12,train,1901042,True
19,12,validation,1902042,True
19,12,pilot,1903042,True
19,12,pricing,1904042,True
19,12,runtime,1905042,True
19,252,train,1901042,True
19,252,validation,1902042,True
19,252,pilot,1903042,True
19,252,pricing,1904042,True
19,252,runtime,1905042,True
20,12,train,2001042,True
20,12,validation,2002042,True
20,12,pilot,2003042,True
20,12,pricing,2004042,True
20,12,runtime,2005042,True
20,252,train,2001042,True
20,252,validation,2002042,True
20,252,pilot,2003042,True
20,252,pricing,2004042,True
20,252,runtime,2005042,True
21,12,train,2101042,True
21,12,validation,2102042,True
21,12,pilot,2103042,True
21,12,pricing,2104042,True
21,12,runtime,2105042,True
21,252,train,2101042,True
21,252,validation,2102042,True
21,252,pilot,2103042,True
21,252,pricing,2104042,True
21,252,runtime,2105042,True
22,12,train,2201042,True
22,12,validation,2202042,True
22,12,pilot,2203042,True
22,12,pricing,2204042,True
22,12,runtime,2205042,True
22,252,train,2201042,True
22,252,validation,2202042,True
22,252,pilot,2203042,True
22,252,pricing,2204042,True
22,252,runtime,2205042,True
23,12,train,2301042,True
23,12,validation,2302042,True
23,12,pilot,2303042,True
23,12,pricing,2304042,True
23,12,runtime,2305042,True
23,252,train,2301042,True
23,252,validation,2302042,True
23,252,pilot,2303042,True
23,252,pricing,2304042,True
23,252,runtime,2305042,True
24,12,train,2401042,True
24,12,validation,2402042,True
24,12,pilot,2403042,True
24,12,pricing,2404042,True
24,12,runtime,2405042,True
24,252,train,2401042,True
24,252,validation,2402042,True
24,252,pilot,2403042,True
24,252,pricing,2404042,True
24,252,runtime,2405042,True
25,12,train,2501042,True
25,12,validation,2502042,True
25,12,pilot,2503042,True
25,12,pricing,2504042,True
25,12,runtime,2505042,True
25,252,train,2501042,True
25,252,validation,2502042,True
25,252,pilot,2503042,True
25,252,pricing,2504042,True
25,252,runtime,2505042,True
26,12,train,2601042,True
26,12,validation,2602042,True
26,12,pilot,2603042,True
26,12,pricing,2604042,True
26,12,runtime,2605042,True
26,252,train,2601042,True
26,252,validation,2602042,True
26,252,pilot,2603042,True
26,252,pricing,2604042,True
26,252,runtime,2605042,True
27,12,train,2701042,True
27,12,validation,2702042,True
27,12,pilot,2703042,True
27,12,pricing,2704042,True
27,12,runtime,2705042,True
27,252,train,2701042,True
27,252,validation,2702042,True
27,252,pilot,2703042,True
27,252,pricing,2704042,True
27,252,runtime,2705042,True
28,12,train,2801042,True
28,12,validation,2802042,True
28,12,pilot,2803042,True
28,12,pricing,2804042,True
28,12,runtime,2805042,True
28,252,train,2801042,True
28,252,validation,2802042,True
