replication,monitoring_dates,stream,seed,shared_across_monitoring_profiles
0,12,train,1042,True
0,12,validation,2042,True
0,12,pilot,3042,True
0,12,pricing,4042,True
0,12,runtime,5042,True
0,252,train,1042,True
0,252,validation,2042,True
0,252,pilot,3042,True
0,252,pricing,4042,True
0,252,runtime,5042,True
1,12,train,101042,True
1,12,validation,102042,True
1,12,pilot,103042,True
1,12,pricing,104042,True
1,12,runtime,105042,True
1,252,train,101042,True
1,252,validation,102042,True
1,252,pilot,103042,True
1,252,pricing,104042,True
1,252,runtime,105042,True
