period,sigma_threshold,empirical_frequency,theoretical_normal_probability,empirical_to_theoretical_ratio
full_sample,2,0.033343437405274325,0.04550026389635842,0.7328185498269812
full_sample,3,0.009699909063352531,0.002699796063260207,3.5928302864621413
full_sample,4,0.004243710215216732,6.334248366623996e-05,66.99627121628843
full_sample,5,0.002576538344953016,5.733031438470704e-07,4494.198876467895
pre-pandemic comparison,2,0.059683794466403164,0.04550026389635842,1.3117241386193348
pre-pandemic comparison,3,0.013043478260869565,0.002699796063260207,4.831282791455953
pre-pandemic comparison,4,0.0035573122529644267,6.334248366623996e-05,56.15997427111292
pre-pandemic comparison,5,0.0011857707509881424,5.733031438470704e-07,2068.3137075286104
COVID-19 stress period,2,0.05825242718446602,0.04550026389635842,1.280265699494728
COVID-19 stress period,3,0.019417475728155338,0.002699796063260207,7.192200919319541
COVID-19 stress period,4,0.009708737864077669,6.334248366623996e-05,153.2737161876113
COVID-19 stress period,5,0.009708737864077669,5.733031438470704e-07,16934.73682863231
