period,date,price,log_return,previous_price,abs_log_return
full_sample,2020-04-21,9.12,-0.6436989051459642,17.36,0.6436989051459642
full_sample,2020-04-22,13.77,0.4120225086543235,9.12,0.4120225086543235
full_sample,2020-04-02,20.24,0.3016126459877277,14.97,0.3016126459877277
full_sample,2020-03-31,14.85,-0.2563894447709,19.19,0.2563894447709
full_sample,2020-03-09,35.33,-0.2551752551492866,45.6,0.2551752551492866
full_sample,2020-05-05,25.46,0.22157369227908993,20.4,0.22157369227908993
full_sample,2020-04-09,20.23,-0.22047067935711936,25.22,0.22047067935711936
full_sample,2020-03-18,22.79,-0.20481066395627548,27.97,0.20481066395627548
full_sample,2001-09-24,20.63,-0.1989064820640642,25.17,0.1989064820640642
full_sample,2020-04-03,24.33,0.18404931237616645,20.24,0.18404931237616645
pre-pandemic comparison,2019-09-16,68.42,0.11070133012462227,61.25,0.11070133012462227
pre-pandemic comparison,2016-01-22,30.46,0.09896095923782106,27.59,0.09896095923782106
pre-pandemic comparison,2016-02-12,31.8,0.09839669921475523,28.82,0.09839669921475523
pre-pandemic comparison,2016-04-08,40.71,0.09150999135111942,37.15,0.09150999135111942
pre-pandemic comparison,2016-12-01,52.28,0.08645508742657393,47.95,0.08645508742657393
pre-pandemic comparison,2016-02-26,35.76,0.0854872187918121,32.83,0.0854872187918121
pre-pandemic comparison,2015-02-02,51.74,0.08508050170349346,47.52,0.08508050170349346
pre-pandemic comparison,2011-05-05,111.93,-0.08245202486095615,121.55,0.08245202486095615
pre-pandemic comparison,2015-01-05,51.08,-0.08082548657847728,55.38,0.08082548657847728
pre-pandemic comparison,2015-08-28,47.97,0.07598590697792205,44.46,0.07598590697792205
COVID-19 stress period,2020-04-21,9.12,-0.6436989051459642,17.36,0.6436989051459642
COVID-19 stress period,2020-04-22,13.77,0.4120225086543235,9.12,0.4120225086543235
COVID-19 stress period,2020-04-02,20.24,0.3016126459877277,14.97,0.3016126459877277
COVID-19 stress period,2020-03-31,14.85,-0.2563894447709,19.19,0.2563894447709
COVID-19 stress period,2020-03-09,35.33,-0.2551752551492866,45.6,0.2551752551492866
COVID-19 stress period,2020-05-05,25.46,0.22157369227908993,20.4,0.22157369227908993
COVID-19 stress period,2020-04-09,20.23,-0.22047067935711936,25.22,0.22047067935711936
COVID-19 stress period,2020-03-18,22.79,-0.20481066395627548,27.97,0.20481066395627548
COVID-19 stress period,2020-04-03,24.33,0.18404931237616645,20.24,0.18404931237616645
COVID-19 stress period,2020-03-30,19.19,-0.1542251205910549,22.39,0.1542251205910549
